"learner","config","cell","bias","normalized_index_rmse","index_correlation","oracle_log_score_fraction","dispersion"
"ranger","ranger_node20_mtryall","binary_negbin_tlog2",0.00878425136784504,0.487972195345086,0.880841861867617,-0.202886449402511,9.02261976237226
"ranger","ranger_node20_mtrysqrt","binary_negbin_tlog2",-0.036295736706191,0.490444168661539,0.889423158576486,-0.409860217418082,7.569956946707
"ranger","ranger_node5_mtryall","binary_negbin_tlog2",0.050846977930153,0.51680917302698,0.868712418955128,-3.72322813837138,272.161784406101
"ranger","ranger_node5_mtrysqrt","binary_negbin_tlog2",-0.0130468247858307,0.495527607848428,0.87984492557096,-4.54755924431898,169.88526560454
"xgboost","xgb_d2_c20_r200","binary_negbin_tlog2",-0.0620500387162491,0.443663155066178,0.931820999731605,0.690056191295281,2.320153368594
"xgboost","xgb_d2_c20_r500","binary_negbin_tlog2",-0.0379397893175926,0.354656213665771,0.935740080866269,0.475428781438183,3.67152329240197
"xgboost","xgb_d2_c5_r200","binary_negbin_tlog2",-0.0621194533314456,0.445102472537353,0.93162047083017,0.688686253350816,2.32698833504465
"xgboost","xgb_d2_c5_r500","binary_negbin_tlog2",-0.0373019898958119,0.355501179963768,0.935510519920362,0.471376387429015,3.72656104417591
"xgboost","xgb_d3_c20_r200","binary_negbin_tlog2",-0.0458440614174307,0.395957001261118,0.934520225925002,0.460311639740601,3.11158799758578
"xgboost","xgb_d3_c20_r500","binary_negbin_tlog2",-0.0126870708772731,0.408426788206078,0.914555458446883,-0.675475965061131,12.9176396408757
"xgboost","xgb_d3_c5_r200","binary_negbin_tlog2",-0.046448386309393,0.399363505708243,0.933740255208695,0.453631574303441,3.1762952124358
"xgboost","xgb_d3_c5_r500","binary_negbin_tlog2",-0.00976745250297585,0.410190896960086,0.913732637156599,-0.889088091563733,15.4234546630368
"ranger","ranger_node20_mtryall","binary_poisson_tlog2",0.0927276643527262,0.391698245508769,0.923817849368293,0.869305547275862,Inf
"ranger","ranger_node20_mtrysqrt","binary_poisson_tlog2",0.0507293963799277,0.463716657852763,0.908641538719452,0.800263444138408,Inf
"ranger","ranger_node5_mtryall","binary_poisson_tlog2",0.0855403877428334,0.408624442914266,0.91786939921318,0.879599867120374,Inf
"ranger","ranger_node5_mtrysqrt","binary_poisson_tlog2",0.049381986125204,0.449327297515592,0.907056838726395,0.817255159855549,Inf
"xgboost","xgb_d2_c20_r200","binary_poisson_tlog2",0.0912909332682654,0.434764208022031,0.947097531727243,0.84447377382454,Inf
"xgboost","xgb_d2_c20_r500","binary_poisson_tlog2",0.0440368430641609,0.26503934499202,0.96684633966403,0.867302560645731,Inf
"xgboost","xgb_d2_c5_r200","binary_poisson_tlog2",0.092069719176094,0.435432301185358,0.946930483252427,0.844289833227138,Inf
"xgboost","xgb_d2_c5_r500","binary_poisson_tlog2",0.0439799903499203,0.267323824821505,0.966203808866006,0.87268995496698,Inf
"xgboost","xgb_d3_c20_r200","binary_poisson_tlog2",0.0909393961759751,0.359485026518457,0.956574936417733,0.841224256707385,Inf
"xgboost","xgb_d3_c20_r500","binary_poisson_tlog2",0.0541245381309776,0.293449472773682,0.956727792341301,0.83937083875159,Inf
"xgboost","xgb_d3_c5_r200","binary_poisson_tlog2",0.0915516664649344,0.361529244179517,0.95604198120135,0.835119106237415,Inf
"xgboost","xgb_d3_c5_r500","binary_poisson_tlog2",0.0550334272093495,0.299013163214488,0.954961741300616,0.831230263727545,Inf
"ranger","ranger_node20_mtryall","continuous_negbin_tlog1p5",-0.0102555426170433,0.486948199052539,0.881747261252347,-0.49613763455193,10.3381933707471
