"clip","cell","n_reps","bias","mc_se_bias","sd","mean_clipping_rate","max_inverse_information","fail_rate"
1e-06,"confounded",20,-0.0293773667041113,0.0107356081848339,0.0480110993621836,0,136114.555245388,0
1e-05,"confounded",20,-0.0293773666260551,0.0107356081537515,0.0480110992231786,1.66666666666668e-05,100001.000010455,0
1e-04,"confounded",20,-0.0293773632469351,0.0107356075455553,0.0480110965032427,5.00000000000006e-05,10001.0001000111,0
0.001,"confounded",20,-0.0293771494485715,0.0107356163728206,0.0480111359799731,0.000483333333333338,1001.001001001,0
1e-06,"randomized",20,-0.0200314791892536,0.00846866302062263,0.0378730123853018,0,7419.14274481976,0
1e-05,"randomized",20,-0.0200314791892536,0.00846866302062263,0.0378730123853018,0,7419.14274481976,0
1e-04,"randomized",20,-0.0200314791892536,0.00846866302062263,0.0378730123853018,0,7419.14274481976,0
0.001,"randomized",20,-0.0200314054840608,0.00846867797589557,0.0378730792673156,0.000150000000000002,1001.001001001,0
