"wine","n","n_levels","overlap_r2","full_model","naive_theta","naive_se","sudo_theta","sudo_se","ci_lo","ci_hi","W","B_between","T_total","df"
"red",1599,6,0.441150236903992,"linear",-0.608065157347187,0.0721719288377942,-0.518029253174817,0.0816754097562368,-0.678772458037112,-0.357286048312522,0.00436130951380008,0.00226427749514618,0.00667087255884918,293.720043909021
"red",1599,6,0.441150236903992,"pl_spline",-0.570477349058855,0.0758163754773351,-0.523389054139867,0.0856895244687145,-0.692161704312786,-0.354616403966947,0.00451930361664999,0.00276803037943572,0.00734269460367443,247.805665585671
"white",4898,7,0.123695758257347,"linear",-0.502151559827128,0.0309768045754009,-0.45450015627327,0.0646857101242664,-0.581455859914704,-0.327544452631836,0.00331783567847002,0.000849417074324116,0.00418424109428062,882.887526201416
"white",4898,7,0.123695758257347,"pl_spline",-0.438398295658954,0.0341042755361998,-0.449988080485258,0.0637438525165898,-0.575354301914119,-0.324621859056396,0.00263470002365003,0.00140056736275169,0.00406327873365676,352.395414453271
