"theta","learner","mean_var_ratio","var_ratio_ttest_p","frac_p_het_sig","mean_abs_theta_bias","cor_ratio_dev","cor_neglogp","n_reps"
1.5,"gam",0.996525130562534,0.67722265318586,0.14,0.136745140779202,-0.13437206734899,-0.137257156475156,100
1.5,"ranger",0.990610925974906,0.295420327863548,0.13,0.156661487314212,0.0734815730591874,0.0641063970292365,100
1.5,"nnet_d0.01",0.941781746264949,2.58101798657694e-13,0.23,0.187178847814592,-0.173284039110811,-0.181379649729397,100
1.5,"nnet_d0.1",0.9739499862856,0.000362229115314798,0.17,0.143049753179198,-0.117887176796719,-0.160886885468318,100
3,"gam",0.989408085475131,0.195095868059725,0.12,0.177850007138919,0.0736591548221244,0.033741078919393,100
3,"ranger",1.01722922192112,0.0888150936079095,0.17,0.239201028456157,0.110707516314495,0.137369957667942,100
3,"nnet_d0.01",0.892537190086831,1.67160401501113e-27,0.44,0.472063416690118,0.006289416531163,0.0452495619169408,100
3,"nnet_d0.1",0.947811662210406,4.76409170619868e-11,0.19,0.204883921108669,0.00324092882647535,-0.0119493294625242,100
