"interval","lower","upper","analytic","randomized_mean","mc_se","difference","size_hat","constrained_max_contrast_spread"
1,0,0.05,-2.06271280750469,-2.06217503293776,0.000678047225714825,0.000537774566931493,1.97662543532773,1.19209289550781e-07
2,0.1,0.3,-0.860971411337935,-0.860565063075303,0.000390859610999964,0.000406348262632195,1.97662543532773,1.19209289550781e-07
3,0.4,0.6,0,0.000124693359181708,0.000266223858346969,0.000124693359181708,1.97662543532773,1.19209289550781e-07
4,0.9,1,1.7549833193235,1.75533044664732,0.000750843049224907,0.000347127323820473,1.97662543532773,1.19209289550781e-07
5,0.99999999999999,1,7.03448691004784,7.03448691004784,0,0,1.97662543532773,1.19209289550781e-07
6,1,1,7.03448691004784,7.03448691004784,0,0,1.97662543532773,1.19209289550781e-07
7,0,0,-7.03448382530113,-7.03448382530113,0,0,1.97662543532773,1.19209289550781e-07
