"stage","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov"
"3f","improper_nn_t1.5",100,1.48988982806824,-0.0101101719317602,0.0169205671591117,0.169205671591117,0.168660811340704,0.120655318408887,0.83,0.0375632799419859
"3f","improper_nn_t3",100,3.06713210694651,0.0671321069465098,0.0239601117918728,0.239601117918728,0.247671816188081,0.127593031586538,0.66,0.047370877129308
"3f","boot_nn_t1.5",60,1.50858719700656,0.00858719700655763,0.0207987983325693,0.161106799126335,0.159989220465267,0.147729199588452,0.883333333333333,0.0414438486701295
"3f","boot_nn_t3",60,3.09595959402693,0.0959595940269344,0.0321966671778958,0.249394311566746,0.265271824644649,0.187758443043046,0.916666666666667,0.0356812016074031
