"stage","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov"
"3e","improper_recal_t1.5",100,1.38615316771492,-0.113846832285084,0.0199727502101064,0.199727502101064,0.229026779145853,0.125096097609562,0.7,0.0458257569495584
"3e","boot_recal_t1.5",100,1.41553765169284,-0.0844623483071587,0.0202307812230211,0.202307812230211,0.218295796253708,0.175922742371723,0.85,0.0357071421427143
"3e","boot_recal_t3",200,2.66297884618506,-0.337021153814935,0.0238667656723729,0.337527037038504,0.476380243447482,0.26123455361216,0.625,0.0342326598440729
