"theta0","B","n","n_reps","bias","mc_se_bias","V_pred","n_var_emp","mean_nT_pred","mean_nT_emp","df_satterthwaite","critical_satterthwaite","critical_mixture","coverage_normal_pred","coverage_normal_emp","coverage_br_pred","coverage_br_emp","coverage_satterthwaite_pred","coverage_satterthwaite_emp","coverage_mixture_pred","coverage_mixture_emp","sig_e","sig_u","GtSgG","GtC"
1,5,5000,1000,0.00263150912511567,0.00145271507997596,10.4735188327601,10.5519055179477,10.6074345417361,10.3986014410876,8.4051867525101,2.27231600637623,2.20643644412352,0.923171346479553,0.924,0.944560158029151,0.95,0.955541341036006,0.954,0.9500000000011,0.95,1.26862502886509,2.02124310483111,4.07672890186746,1.95428525034311
1,10,5000,1000,0.00240368242700462,0.00140194052807141,9.86372163209017,9.82718622124574,9.99763734106618,9.98697267229275,19.9931417076733,2.07199144901079,2.06075029960204,0.938679048463928,0.941,0.949887250145939,0.952,0.95114007819283,0.952,0.95,0.951,1.26862502886509,2.02124310483111,4.07672890186746,1.95428525034311
1,25,5000,1000,0.00240746566148453,0.00137736178451358,9.4978433116882,9.48562742719221,9.63175902066421,9.57699288857448,55.3585781537867,1.98977464578811,1.98832161813668,0.946750442793601,0.944,0.951308600076673,0.951,0.950161815701007,0.951,0.95,0.95,1.26862502886509,2.02124310483111,4.07672890186746,1.95428525034311
1,50,5000,1000,0.00219758832057049,0.00136793331599976,9.3758838715542,9.35620778511054,9.50979958053022,9.51939781780911,114.542751747566,1.96689484286814,1.96655571159823,0.949239617336473,0.947,0.951526529143344,0.948,0.950038857256992,0.948,0.95,0.947,1.26862502886509,2.02124310483111,4.07672890186746,1.95428525034311
1,100,5000,1000,0.00198855247820484,0.0013652444829043,9.31490415148721,9.31946249050314,9.44881986046322,9.49776135455229,233.011165936512,1.95618573398451,1.95610377948795,0.950446758518794,0.953,0.951591706751432,0.954,0.950009520143378,0.953,0.95,0.953,1.26862502886509,2.02124310483111,4.07672890186746,1.95428525034311
3,5,5000,1000,0.0107864648696037,0.0033466514523816,57.0071234749405,56.0003797186393,56.2383802862438,54.678468419198,4.51250896396659,2.67449124600964,2.61060675928432,0.887967075097151,0.88,0.942258554471534,0.933,0.95372951886595,0.952,0.95,0.949,0.579934911596054,2.70993322210014,41.4138269050155,3.09430481644845
3,10,5000,1000,0.00972030190508377,0.00322912782219647,52.5947474622282,52.1363324604166,51.8260042735315,51.6990485640266,10.2614223302871,2.23687607072378,2.22870329009107,0.921076319552119,0.913,0.94732140748907,0.948,0.950698296771445,0.952,0.950000000000077,0.952,0.579934911596054,2.70993322210014,41.4138269050155,3.09430481644845
3,25,5000,1000,0.00985593996765521,0.00311427837759881,49.9473218546009,48.4936490658973,49.1785786659042,49.3051283121951,27.5645863054359,2.06582514772605,2.06490154139175,0.93803090854543,0.95,0.948155087310045,0.955,0.950095598075163,0.956,0.95,0.956,0.579934911596054,2.70993322210014,41.4138269050155,3.09430481644845
3,50,5000,1000,0.00996828834177288,0.00306791939633738,49.0648466520584,47.0606471121156,48.2961034633617,48.3966974356687,56.4254320386851,2.01878496828832,2.01857742934058,0.943202544497041,0.953,0.948192056457697,0.957,0.950022767601327,0.959,0.95,0.959,0.579934911596054,2.70993322210014,41.4138269050155,3.09430481644845
3,100,5000,1000,0.00904609439880355,0.0030483274349164,48.6236090507872,46.4615007523201,47.8548658620905,47.9642976775285,114.156231528711,1.99681097715642,1.9967617031605,0.945699155344537,0.952,0.948174969314807,0.956,0.950005559234791,0.959,0.95,0.959,0.579934911596054,2.70993322210014,41.4138269050155,3.09430481644845
