"stage","theta","learner","slope","intercept","r2","n_reps"
"3l",1.5,"pl_mboost",1.31067734274835,-0.30835888324788,0.91971757757084,100
"3l",3,"pl_mboost",1.34430874768606,-0.372615285847965,0.92596293852913,100
