"stage","theta","learner","mean_var_ratio","var_ratio_ttest_p","frac_p_het_sig","mean_abs_theta_bias","n_reps"
"3k",1.5,"pl_xgboost",0.96099207315932,2.5735210425403e-05,0.24,0.119592210813056,100
"3k",3,"pl_xgboost",0.927506479369137,4.54447044031975e-14,0.33,0.189643919730761,100
