"stage","theta","estimator","n_reps","bias","mc_se_bias","sd","mean_se","sd_over_mean_se","coverage","coverage_pct","mc_se_cov"
"3p",1.5,"pipeline_boot_pltuned",100,-0.0286363435152877,0.0148977144270189,0.148977144270189,0.141856883108979,1.05019327229783,0.96,0.96,0.0195959179422654
"3p",3,"pipeline_boot_pltuned",100,-0.0234447819784949,0.0192830995987707,0.192830995987707,0.205195152927737,0.939744400568834,0.98,0.95,0.014
