"size","decay","bias_t1.5","bias_t3","worst_abs"
4,0.3,0.0130046076331265,-0.0260275275738788,0.0260275275738788
4,0.1,0.0185399427788036,-0.0333317274308018,0.0333317274308018
8,0.1,0.0365150609649052,-0.0175582607287805,0.0365150609649052
8,0.3,0.0440020412542212,0.0225477137667527,0.0440020412542212
16,0.1,0.059144013634062,0.0501835477082144,0.059144013634062
4,0.03,0.0162775295658288,-0.0689213180829555,0.0689213180829555
8,0.03,0.028500134761037,-0.0764292250450858,0.0764292250450858
16,0.03,0.0309557776305063,-0.093581137476026,0.093581137476026
4,0.01,0.00666330144648786,-0.0949216298313869,0.0949216298313869
16,0.3,0.0821487021070204,0.117244372203661,0.117244372203661
4,0.003,0.00233505667463318,-0.128481384330723,0.128481384330723
8,0.01,0.0164305071331619,-0.130639083519791,0.130639083519791
16,0.01,0.0185113610127177,-0.163350186914772,0.163350186914772
8,0.003,-0.00462589960068716,-0.170298860591102,0.170298860591102
16,0.003,-0.00292444206946874,-0.222125142856892,0.222125142856892
