"stage","theta","learner","n_reps","mean_signed_resid_D","se_signed_resid_D","mean_abs_resid_D","t_stat_vs_zero","mean_theta_bias","cor_signed","cor_abs","delta_D_exact","delta_D_theory"
"3h-reanalysis",1.5,"gam",100,-0.000916204626465463,0.00783661111174263,0.0625615391627062,-0.116913371532829,0.0275890146413233,0.537240167863513,0.174494132228561,0.0285052192677887,0.0412391848151319
"3h-reanalysis",1.5,"ranger",100,0.0688131484626518,0.00674916288923829,0.0792744357393178,10.1958049601049,-0.126341199759397,0.27647306344212,-0.223363906399385,-0.195154348222049,-0.188850821762925
"3h-reanalysis",1.5,"nnet_d0.01",100,-0.00334482958466704,0.0074374083056337,0.060400967937837,-0.449730530745958,0.124849910228281,0.255188123117305,0.0153831339708144,0.128194739812948,0.186621689429418
"3h-reanalysis",1.5,"nnet_d0.1",100,0.00757482628801905,0.00736391229899083,0.0589785537340431,1.02864156720839,0.035176527603711,0.350371785474803,-0.0436682449162339,0.027601701315692,0.0525807587499418
"3h-reanalysis",3,"gam",100,-0.000944637571681917,0.00842919671772775,0.0667993163510219,-0.112067330175747,0.039451441362113,0.402340792111618,0.0142917805311108,0.0403960789337949,0.0458204893868908
"3h-reanalysis",3,"ranger",100,0.0531588990342893,0.00734829720708959,0.0735291414435185,7.23417923039395,0.0501978308256734,0.12643340689018,-0.0122248750993117,-0.00296106820861597,0.0583017779624546
"3h-reanalysis",3,"nnet_d0.01",100,0.00363285731963575,0.00828546434775367,0.0671207964841192,0.438461523356947,0.456677673570206,0.13534996177797,0.0542210859908627,0.45304481625057,0.530403802055988
"3h-reanalysis",3,"nnet_d0.1",100,0.0146386590098608,0.00752222748546097,0.0608396954339352,1.94605375045551,0.0751318580540311,0.252975057922018,0.0962940858726497,0.0604931990441702,0.0872611591800593
