"theta","learner","rep","var_ratio","p_het","theta_hat","theta_bias"
1.5,"gam",1,0.864914426170232,0.0256080575100337,1.34006215552612,-0.159937844473877
1.5,"gam",2,0.919194888060524,0.189265118678542,1.47052103729286,-0.0294789627071406
1.5,"gam",3,1.02103101390259,0.753739629178451,1.57379234989795,0.0737923498979463
1.5,"gam",4,1.07858277581399,0.250285188294757,1.30052476865251,-0.199475231347489
1.5,"gam",5,0.955142490452968,0.481185214116492,1.78158028836551,0.281580288365512
1.5,"gam",6,0.896114439952266,0.0906856129611578,1.66807753745804,0.168077537458036
1.5,"gam",7,0.920867513968156,0.206663305546475,1.6100902138908,0.110090213890796
1.5,"gam",8,0.999808739340978,0.993458016243963,1.91338021708194,0.413380217081938
1.5,"gam",9,1.12867413381817,0.0674089307759709,1.62794298016845,0.127942980168453
1.5,"gam",10,1.11086478701706,0.109768620279874,1.63197758899454,0.131977588994536
1.5,"gam",11,0.927718360081557,0.251135593311799,1.26091581688129,-0.239084183118705
1.5,"gam",12,0.857329167404932,0.0176917133377605,1.59455806646421,0.0945580664642134
1.5,"gam",13,0.967794190813095,0.6120158233237,1.76979802751437,0.269798027514373
1.5,"gam",14,1.0514011625926,0.442308493351536,1.60392293128679,0.103922931286786
1.5,"gam",15,0.868865919643417,0.0302362489849781,1.70530460400043,0.205304604000435
1.5,"gam",16,0.98150863780683,0.769297015015208,1.45535073418569,-0.0446492658143112
1.5,"gam",17,1.14464889040218,0.0396646420702655,1.36588030768909,-0.13411969231091
1.5,"gam",18,0.920271906025093,0.199697662851023,1.47365437073741,-0.026345629262593
1.5,"gam",19,0.949621972829313,0.424348894709706,1.65264216561402,0.152642165614021
1.5,"gam",20,0.848531836059798,0.0112623568097013,1.47479788181669,-0.025202118183308
1.5,"gam",21,0.942789465883302,0.363691765641654,1.40020805903938,-0.0997919409606172
1.5,"gam",22,1.0678492031535,0.318146289987894,1.40597391065324,-0.0940260893467588
1.5,"gam",23,1.01929168161452,0.774733281053618,1.72903332756089,0.229033327560893
1.5,"gam",24,1.04426698075492,0.508275311318736,1.45152034694654,-0.0484796530534566
1.5,"gam",25,0.96792020233311,0.614658247328864,1.5260200979148,0.0260200979147951
1.5,"gam",26,0.923863752052264,0.22188860133878,1.61144201209262,0.111442012092624
1.5,"gam",27,1.00373180401672,0.959130567825283,1.29033985068441,-0.209660149315585
