"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1616001,"min",0.75,0.711895646686286,0.139216580663561,0.709581304884746,0.729429016996708,0.749329681664443,0.751690271119141,0.779102319274549,0.768973061573976,0.779063933189635,0.782434556325039,0.0198477121119625,0.500666097084491,0.000333333333333326,1001.001001001,8.88178419700125e-15,0,0.313147720517011,0.980519320952265,0.779063933189635,-0.0027293051729101,1,0.0671682865033489,1.9345772391451e-12,1,0.782434556325039,0.000737083381734626,1.10394663006064,-0.00346024378912316,1.02584607475364e-16,1,0.767692951642443,0.78541098291891,2198257,13533212,"randomized",0.001,3000,80,5,5,1
1616002,"min",0.75,0.721388391550025,0.146121304406449,0.719177589541832,0.743895330479466,0.768044373554138,0.798120756867805,0.792291024178649,0.783139174225448,0.792336343889901,0.796601884364713,0.0247177409376343,0.494181140886834,0,599.51914173839,7.105427357601e-15,0,0.316234277109741,0.982991616682947,0.792336343889901,0.00337287167203975,1,0.0709479523398762,4.28448387879143e-13,1,0.796601884364713,0.00738971479195469,1.15048267079218,-0.0333429590242348,9.473903143468e-17,1,0.77496246320767,0.81202234052568,2251241,13440745,"randomized",0.001,3000,80,5,5,2
1616003,"min",0.75,0.653918015629671,0.132088316438756,0.652826448114741,0.675385925092394,0.696833454236796,0.706553462584176,0.715178287494137,0.709359755625636,0.715177281403562,0.717327052847641,0.0225594769776529,0.487366240841668,0.000333333333333346,1001.001001001,7.54951656745106e-15,0,0.353549935967706,0.98148165991326,0.715177281403562,0.000401378173822509,1,0.0612592657738908,1.55173059586862e-13,1,0.717327052847641,0.00428464563762957,1.08550508549603,0.00749572138415934,4.17443857259059e-17,1,0.740884563879392,0.721922676958551,2204602,13524739,"randomized",0.001,3000,80,5,5,3
1616004,"min",0.75,0.641643442129012,0.133870811750492,0.647689484492443,0.669820185412929,0.69041185130782,0.707535745240064,0.703335581517267,0.69584284322215,0.703342483425207,0.703118970579589,0.0221307009204863,0.481987947528207,0,200.141528750813,6.66133814775094e-15,0,0.395124497833061,0.980950724838132,0.703342483425207,-0.00136036184248608,1,0.0616990412961947,1.23452359446219e-14,1,0.703118970579589,0.00355936270701344,1.13606658905217,-0.0258307061076104,1.28045722173435e-16,1,0.73781470761405,0.701825060343689,2235982,13483097,"randomized",0.001,3000,80,5,5,4
1616005,"min",0.75,0.684793833280013,0.137531638207872,0.681282178918416,0.703738804433517,0.725566377584097,0.732261684730631,0.750988169985986,0.741059225402999,0.75096650234437,0.754204284158334,0.0224566255151017,0.492897552812564,0,233.501336308325,8.88178419700125e-15,0,0.35694233152994,0.975428853218465,0.75096650234437,-0.00253117956440077,1,0.0661726690643571,2.60776659525656e-13,1,0.754204284158334,0.00226471820558175,1.13733499132022,-0.0246357042713297,3.70074341541719e-17,1,0.756200945166666,0.751133486511987,2257189,13488515,"randomized",0.001,3000,80,5,5,5
1616006,"min",0.75,0.6025293247605,0.125336902775521,0.602651352555326,0.632040331230712,0.658523513672372,0.704130419959547,0.67489882080204,0.668950561640724,0.674900060161546,0.68150954360928,0.029388978675386,0.473996027935639,0.000333333333333345,1001.001001001,4.44089209850063e-15,0,0.356781130269245,0.984539482953997,0.674900060161546,0.0013614403514269,1,0.0723707354010468,1.46448779029621e-14,1,0.68150954360928,0.00218797206755167,1.17227322537488,-0.0248194513106597,1.93474865758011e-16,1,0.722142476180503,0.732328000235916,2278934,13534626,"randomized",0.001,3000,80,5,5,6
1616007,"min",0.75,0.696232928174967,0.139764113954637,0.697800451417583,0.722822423032762,0.746971999721411,0.77881442641822,0.761902845894065,0.754999776931614,0.761897702048937,0.767308791401948,0.0250219716151793,0.49112906796081,0.000666666666666665,1001.001001001,7.105427357601e-15,0,0.358764726089865,0.97721685031219,0.761897702048937,-0.00169851341681183,1,0.0656647738739695,7.01694702343048e-13,1,0.767308791401948,-0.0067400194930209,1.1336305306957,-0.0219621124528639,2.00173211339916e-16,1,0.768074424948574,0.815909357340854,2323764,13315384,"randomized",0.001,3000,80,5,5,7
1616008,"min",0.75,0.671074626310783,0.134047784900274,0.673043504977788,0.697676202146204,0.721386149558082,0.784690588544099,0.731073406187075,0.728760997953548,0.731076269548128,0.733918049123294,0.0246326971684168,0.490456151452299,0.000666666666666658,1001.001001001,8.88178419700125e-15,0,0.28468077171933,0.985571447609069,0.731076269548128,0.00274000496277869,1,0.060001643237345,1.24064610436866e-12,1,0.733918049123294,0.00348774026503476,1.10584408696384,-0.00818585829395094,3.46093524209815e-16,1,0.752800439047322,0.825350093116192,2275119,13520214,"randomized",0.001,3000,80,5,5,8
1616009,"min",0.75,0.686987773657986,0.139922428219988,0.685867918128226,0.713073515542632,0.739239681020846,0.768745965772823,0.752299316449185,0.747556163013957,0.752300423980224,0.754951183432392,0.0272055974144059,0.490262342108851,0,833.515776120856,9.10382880192628e-15,0,0.382675159477723,0.978094730560561,0.752300423980224,-0.000656076195405412,1,0.0653126503222378,9.33611706462519e-14,1,0.754951183432392,-0.00300498548679133,1.0983698967983,0.000384493377973919,1.22568621918617e-16,1,0.766309894731049,0.816709445380872,2328651,13595384,"randomized",0.001,3000,80,5,5,9
1616010,"min",0.75,0.632115072904806,0.130869741166146,0.634566186034155,0.656152705254455,0.67586100388746,0.681695342382749,0.687921718545145,0.682506275704077,0.687880956632137,0.689526741785243,0.0215865192202995,0.477258398451265,0,210.587744186414,7.7715611723761e-15,0,0.419477841779941,0.973216125071571,0.687880956632137,-0.00519517711736737,1,0.0557658837273313,9.35192664049585e-15,1,0.689526741785243,-0.00174629395091154,1.08114703179719,0.00611740695994586,3.36978636106267e-11,1,0.72632052921461,0.698066023393495,2193924,13477524,"randomized",0.001,3000,80,5,5,10
