"cell","mean_affine_intercept","mean_affine_slope","mean_affine_tilt","max_score_error","convergence_rate"
"confounded",0.0161739374564329,1.26379249511895,-0.101103563850876,6.94928559141772e-13,1
"high_signal",0.0105299304474339,1.51726009525846,-0.208962172539775,4.50595972386244e-11,1
"randomized",0.00318522506104953,1.11753296892214,-0.0112142998079652,5.66794954674303e-11,1
