"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","replication","bootstrap_fit_timeout"
"raw_label",0.75,0.13059138871786,0.00773523344702539,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"index_projection",0.75,0.648743580077327,0.041985626522868,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"sudo",0.75,0.67270792204013,0.0434317765007194,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"scaled",0.75,0.695770120479289,0.0470843502900662,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"orthogonal",0.75,0.713527444167933,0.0537890124547587,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"targeted_projection",0.75,0.717962605310903,0.0491782486474932,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"targeted_sudo",0.75,0.709213795809467,0.048349823526272,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,6,Inf
"direct",0.75,0.735532175750548,0.0401707638414355,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"raw_label",0.75,0.148435544592956,0.00728369757823313,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"index_projection",0.75,0.736798105027936,0.0400949964641522,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"sudo",0.75,0.767108407773645,0.0405794701330724,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"scaled",0.75,0.79734299011062,0.0433348675342347,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"orthogonal",0.75,0.846495346237885,0.0461663205987238,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"targeted_projection",0.75,0.820106762134988,0.0487756874513266,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"targeted_sudo",0.75,0.81139333595671,0.0466689611009303,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,7,Inf
"direct",0.75,0.691783866060295,0.0368847259160043,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"raw_label",0.75,0.141640114751639,0.00684027044366956,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"index_projection",0.75,0.697283039718356,0.0370752606127388,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"sudo",0.75,0.721771411136954,0.0387987339677363,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"scaled",0.75,0.745408363195244,0.04228225590693,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"orthogonal",0.75,0.711794783491567,0.0591002037584233,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"targeted_projection",0.75,0.769603786761747,0.0445693581492792,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"targeted_sudo",0.75,0.757819848348216,0.0433639450883569,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,8,Inf
"direct",0.75,0.612226909163701,0.0434879395312099,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"raw_label",0.75,0.121944281543802,0.00723276644080335,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"index_projection",0.75,0.614876144129418,0.0431298404563641,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"sudo",0.75,0.634386734217324,0.0437898844540246,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
"scaled",0.75,0.653052395529338,0.0464185900848525,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,9,Inf
