"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"index_projection",0.75,0.578828543895541,0.0369943087983003,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"sudo",0.75,0.604000021800329,0.0395519378256903,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"scaled",0.75,0.625195465803327,0.0435391049725449,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"orthogonal",0.75,0.644453544367475,0.0469758899285381,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"targeted_projection",0.75,0.630442340364647,0.0455913735091584,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"targeted_sudo",0.75,0.62766408356304,0.044073201514041,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"pit_intercept_tilt",0.75,0.630432360794742,0.0455959661322379,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"pit_affine_tilt",0.75,0.633523054373372,0.0470010743427208,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,5
"direct",0.75,0.685624917101318,0.0423504603820483,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"raw_label",0.75,0.139693439620813,0.00828230976339032,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"index_projection",0.75,0.687674912989513,0.0422812395138371,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"sudo",0.75,0.708035442175076,0.04495420937483,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"scaled",0.75,0.727405973043592,0.0490765604136066,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"orthogonal",0.75,0.747431298918278,0.0521467571584709,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"targeted_projection",0.75,0.744082431598419,0.0527005207322764,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"targeted_sudo",0.75,0.7374793878236,0.051375472863634,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"pit_intercept_tilt",0.75,0.744082110223793,0.052698742355952,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"pit_affine_tilt",0.75,0.746069000820929,0.0540859095773483,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,6
"direct",0.75,0.668335363263374,0.037502083827302,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"raw_label",0.75,0.138147303970609,0.00690818759251445,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"index_projection",0.75,0.671175356595826,0.0371829955845624,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"sudo",0.75,0.69512834834783,0.0376652017958136,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"scaled",0.75,0.717982819428601,0.0398695399167728,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"orthogonal",0.75,0.728089974320753,0.043503637388243,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"targeted_projection",0.75,0.742688722401601,0.0448419790518972,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"targeted_sudo",0.75,0.732161799322451,0.0432466684323527,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"pit_intercept_tilt",0.75,0.742682826263244,0.0448392832781215,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"pit_affine_tilt",0.75,0.745275089073111,0.045923154105848,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,7
"direct",0.75,0.653732340738684,0.0435524858536871,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"raw_label",0.75,0.132639749250998,0.00839276894633421,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"index_projection",0.75,0.655488017799387,0.0431374177131982,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"sudo",0.75,0.676732091563683,0.0442850497494001,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"scaled",0.75,0.697401273970707,0.0475774177266398,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"orthogonal",0.75,0.70559754885937,0.0498354765440282,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"targeted_projection",0.75,0.72196667054451,0.0511092199477421,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"targeted_sudo",0.75,0.711039444687631,0.04946400747371,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"pit_intercept_tilt",0.75,0.721962423291802,0.0511080234641728,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"pit_affine_tilt",0.75,0.723802065491224,0.0518978551034763,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,8
"direct",0.75,0.687409908419621,0.0387681951688941,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"raw_label",0.75,0.137378616929896,0.00712958212094306,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"index_projection",0.75,0.686629968317966,0.0386769573074762,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"sudo",0.75,0.709861563643637,0.0400301898085535,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"scaled",0.75,0.73271846051726,0.0439864158664013,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"orthogonal",0.75,0.75028637290584,0.0492695971768688,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"targeted_projection",0.75,0.755742514566464,0.0479092261604156,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"targeted_sudo",0.75,0.746705238255409,0.0464925535828255,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"pit_intercept_tilt",0.75,0.755832499043522,0.0479051229619283,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"pit_affine_tilt",0.75,0.759979020694573,0.049257446577107,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,9
"direct",0.75,0.663301362513861,0.0384364483279274,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"raw_label",0.75,0.131567412483996,0.00696410367925995,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"index_projection",0.75,0.664260004170891,0.0389471201580135,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"sudo",0.75,0.685055092726394,0.0405969808378743,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"scaled",0.75,0.705258342841752,0.0446093141802672,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"orthogonal",0.75,0.722538747901098,0.0507280943915024,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"targeted_projection",0.75,0.730473366887049,0.0476108604469575,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"targeted_sudo",0.75,0.719515380660763,0.0463085231748038,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"pit_intercept_tilt",0.75,0.730457622663412,0.0476085530465484,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"pit_affine_tilt",0.75,0.734428408946192,0.0491230260027594,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,10
"direct",0.75,0.620684251459952,0.0382846182555719,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
"raw_label",0.75,0.12656714062349,0.00778938558501091,FALSE,0.404040404040404,"randomized",TRUE,0.001,3000,80,5,5,99,600,11
