"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"pit_intercept_tilt",0.75,0.727026238103637,0.0451900946693776,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"pit_affine_tilt",0.75,0.729602907048363,0.0469742456084591,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"affine_calibrated_sudo",0.75,0.731471541331951,0.0464815486565671,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,4
"direct",0.75,0.663605002736281,0.0440344740806556,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"raw_label",0.75,0.132659942016942,0.00756017898235091,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"index_projection",0.75,0.667989316017535,0.0443585128910029,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"sudo",0.75,0.681415043962962,0.0445844760458383,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"scaled",0.75,0.694365775932632,0.0463982445697038,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"orthogonal",0.75,0.631703761124985,0.0955570538330513,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"targeted_projection",0.75,0.729023851802401,0.0517297549160941,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"targeted_sudo",0.75,0.715533503599764,0.0500371531813433,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"pit_intercept_tilt",0.75,0.729030809326264,0.0517322109086787,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"pit_affine_tilt",0.75,0.733500762216799,0.0539102679464275,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"affine_calibrated_sudo",0.75,0.726585699464183,0.053169873096665,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,5
"direct",0.75,0.688314660555106,0.0377036777248368,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"raw_label",0.75,0.140088468976785,0.00748268920701782,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"index_projection",0.75,0.688132320898508,0.0379224099277647,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"sudo",0.75,0.717276526892778,0.0403701430547506,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"scaled",0.75,0.744919794876778,0.0450843888303419,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"orthogonal",0.75,0.769673614133986,0.0485397569463551,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"targeted_projection",0.75,0.748308814824676,0.0459880124466125,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"targeted_sudo",0.75,0.744709924001372,0.0450693142326845,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"pit_intercept_tilt",0.75,0.74830678445992,0.0459906804154055,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"pit_affine_tilt",0.75,0.751209738860072,0.0472467469714087,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"affine_calibrated_sudo",0.75,0.757768345007617,0.0478182915657265,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,6
"direct",0.75,0.626312297881328,0.0377412751156508,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"raw_label",0.75,0.129647927368941,0.00727143144652344,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"index_projection",0.75,0.631059127814621,0.0374965631551331,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"sudo",0.75,0.652448324263784,0.038545065766675,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"scaled",0.75,0.672362743425895,0.0412365369035051,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"orthogonal",0.75,0.680427936188238,0.0468639543892667,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"targeted_projection",0.75,0.688789447544512,0.0427659496621479,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"targeted_sudo",0.75,0.680820378798082,0.0417865906764072,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"pit_intercept_tilt",0.75,0.688798779051001,0.0427638174598662,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"pit_affine_tilt",0.75,0.689038433666671,0.0436588528935664,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"affine_calibrated_sudo",0.75,0.691929300935992,0.0440631031804819,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,7
"direct",0.75,0.67492958790679,0.0407458305053227,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"raw_label",0.75,0.134336754466499,0.00747939993547137,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"index_projection",0.75,0.675693066810702,0.0410086687685369,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"sudo",0.75,0.69792203849348,0.0425270495898966,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"scaled",0.75,0.719611716477073,0.0458487112731295,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"orthogonal",0.75,0.74412405106638,0.0503458342867383,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"targeted_projection",0.75,0.743053235398781,0.0476627357070083,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"targeted_sudo",0.75,0.735761008653832,0.0464191535098504,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"pit_intercept_tilt",0.75,0.743052981511467,0.0476598434382952,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"pit_affine_tilt",0.75,0.746220490818113,0.0490539162262513,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"affine_calibrated_sudo",0.75,0.74308779682333,0.0497424210081829,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,8
"direct",0.75,0.686011456289513,0.0407118253246678,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"raw_label",0.75,0.135892189265753,0.007683804454163,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"index_projection",0.75,0.690853229520016,0.0401981781827942,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"sudo",0.75,0.71611181256766,0.0425695339702163,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"scaled",0.75,0.741194423321855,0.0472653389999012,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"orthogonal",0.75,0.745424919704046,0.0620682520321729,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"targeted_projection",0.75,0.757997205416225,0.0502193268613595,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"targeted_sudo",0.75,0.749526534241338,0.0486817264176904,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"pit_intercept_tilt",0.75,0.757996327471336,0.0502289395577142,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"pit_affine_tilt",0.75,0.762244083402476,0.0519637901955372,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"affine_calibrated_sudo",0.75,0.764746697490846,0.0511803979776796,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,9
"direct",0.75,0.61084471408931,0.0356912846037138,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"raw_label",0.75,0.12883947714216,0.00735648981652084,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"index_projection",0.75,0.612061106197733,0.0352863049913391,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"sudo",0.75,0.634874192725263,0.0369378232075292,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"scaled",0.75,0.655000411934168,0.0400165612738157,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"orthogonal",0.75,0.671227349345651,0.0447049418200129,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"targeted_projection",0.75,0.668165347593835,0.0431780080853217,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"targeted_sudo",0.75,0.662344278070019,0.04196528642162,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"pit_intercept_tilt",0.75,0.668183907766943,0.0431844930120139,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"pit_affine_tilt",0.75,0.669218076276719,0.0439264108579226,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"affine_calibrated_sudo",0.75,0.671149387275956,0.0425685400217287,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,10
"direct",0.75,0.619011177251027,0.0391957959392902,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"raw_label",0.75,0.128978145471109,0.0075663862985416,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"index_projection",0.75,0.617052864050123,0.0391456607390674,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"sudo",0.75,0.643858647957308,0.0404656481122872,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"scaled",0.75,0.667759218424854,0.0433453088133023,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"orthogonal",0.75,0.659000246139841,0.0583699739901821,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"targeted_projection",0.75,0.68843823084369,0.046002432143724,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"targeted_sudo",0.75,0.679192908928247,0.0451122896510398,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"pit_intercept_tilt",0.75,0.688448953322016,0.0459970389283966,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"pit_affine_tilt",0.75,0.692079491835904,0.0469458789417888,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"affine_calibrated_sudo",0.75,0.687560415320339,0.0464910472593116,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,11
"direct",0.75,0.699808624316905,0.0395284907502378,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"raw_label",0.75,0.143836661722892,0.00755420699584498,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"index_projection",0.75,0.700997864650004,0.0396374704463088,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"sudo",0.75,0.728351413936687,0.0413826358757479,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"scaled",0.75,0.754992232517223,0.0453122619251349,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"orthogonal",0.75,0.787378484721729,0.0505634572494969,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"targeted_projection",0.75,0.774818132731688,0.0478993903338372,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"targeted_sudo",0.75,0.767878530923605,0.0463984825561963,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"pit_intercept_tilt",0.75,0.774812594628823,0.047901843018576,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"pit_affine_tilt",0.75,0.776883550803788,0.0495418452004432,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"affine_calibrated_sudo",0.75,0.775434657152155,0.0497082849771204,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,12
"direct",0.75,0.772659094619257,0.0415715649829446,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"raw_label",0.75,0.156504300585654,0.00754266376209218,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
"index_projection",0.75,0.773007461934228,0.0410838511493101,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,86400,13
