"estimator","link","n_reps","fail_rate","bias","mc_se_bias","sd","rmse","std_bias"
"sudo_cloglog","cloglog (correct)",300,0,0.00350319072852145,0.00466840173286049,0.0808590899145696,0.0808001905465171,0.0433246371214751
"plos_cloglog","cloglog (correct)",300,0,0.00371805144129977,0.00468479115610489,0.0811429630522301,0.0810928917429845,0.0458209966883578
"glm_cloglog","cloglog (correct)",300,0,0.00319161273576007,0.0045700190123729,0.079155051209856,0.0790874417977756,0.0403210242047404
"sudo_logit","logit (WRONG)",300,0,0.700596908968224,0.0083695452887176,0.144964776763076,0.715388542031153,4.83287681747165
"plos_logit","logit (WRONG)",300,0,0.675405142298592,0.00818155770912768,0.14170873637266,0.690062703180783,4.76615034179995
"glm_logit","logit (WRONG)",300,0,0.702367662866623,0.00832180987726019,0.144137975183432,0.716956649464295,4.87288420676634
