"stage","arm","theta_logit","theta_true","n","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov","sd_over_mean_se","acf1","minutes"
"3q","C pl-bart",1.5,0.826993343132688,2000,200,0.856993291943621,0.0299999488109326,0.00589680080977643,0.0833933567979847,0.0884289354617842,0.0720977847978851,0.885,0.0225582579114612,1.15667016721478,0.0150719041896149,2.61301308075587
"3q","C pl-bart",3,1.65398668626538,2000,200,1.73418439975922,0.0801977134938416,0.00692125808408715,0.0978813705120048,0.126350829555971,0.0824418609975528,0.805,0.0280156206427771,1.18727754720275,0.139373712916012,3.6566345334053
"3q","D vanilla-bart",1.5,0.826993343132688,2000,200,0.851240253509178,0.0242469103764898,0.0057442715522903,0.0812362673520289,0.0845827827659353,0.0728363476082593,0.91,0.0202361063448481,1.11532593299361,NA,4.1152382850647
"3q","D vanilla-bart",3,1.65398668626538,2000,200,1.72331950966636,0.069332823400988,0.00720031480253979,0.101827828471075,0.122980089927726,0.0843771746580759,0.855,0.0248972890090467,1.20681723325906,NA,3.98348206679026
"3q","A backfit-boot",1.5,0.826993343132688,2000,200,0.83150786848689,0.00451452535420194,0.00571185577722192,0.0807778390646636,0.0807020131515357,0.0708407406859118,0.89,0.0221246468898376,1.14027377865528,NA,23.3653148492177
"3q","A backfit-boot",3,1.65398668626538,2000,200,1.65477202282763,0.000785336562249883,0.00648164833282821,0.0916643497881862,0.0914382743193271,0.0831092267339076,0.945,0.0161206389451535,1.10293830649718,NA,21.5618383487066
"3q","B pipeline-boot",1.5,0.826993343132688,2000,100,0.835180357334132,0.00818701420144397,0.00863756086130525,0.0863756086130525,0.0863317178514196,0.0804012463655408,0.95,0.0217944947177034,1.07430683624417,NA,156.507539467017
"3q","B pipeline-boot",3,1.65398668626538,2000,100,1.6506476997461,-0.00333898651927833,0.0101925284759406,0.101925284759406,0.101469329688971,0.103730896416737,0.97,0.017058722109232,0.982593309036128,NA,202.219658867518
