"theta0","B","V_emp","V_emp_se","T_emp","T_emp_se","V_pred","T_pred","V_z","T_z","ratio_pred","sig_e","sig_u","GtSigmaG","GtC","G_threshold_1","G_threshold_2"
1,1,9.57345253812638,0.606084689875629,NA,NA,10.1289789008936,10.319279718651,-0.916582075157245,NA,1.01878775932099,1.77158886191512,1.51823417393401,1.99635271069949,1.4230863737004,-0.0138070911958556,0.0774575323162942
1,2,7.31017850544273,0.462799314537977,9.02740912814222,0.331919719969571,8.37163727927136,8.56193809702878,-2.29356168102433,1.4023602790341,1.02273161287441,1.77158886191512,1.51823417393401,1.99635271069949,1.4230863737004,-0.0138070911958556,0.0774575323162942
1,5,6.48712591860158,0.410692765739587,7.48652958147051,0.126918488950806,7.317232306298,7.50753312405542,-2.02123450166341,-0.165488438749442,1.02600721280827,1.77158886191512,1.51823417393401,1.99635271069949,1.4230863737004,-0.0138070911958556,0.0774575323162942
1,20,6.0902189521984,0.38556502476172,6.97913629286235,0.0527352343470188,6.79002981981132,6.98033063756874,-1.81502683767908,-0.0226479453666821,1.02802650692375,1.77158886191512,1.51823417393401,1.99635271069949,1.4230863737004,-0.0138070911958556,0.0774575323162942
2.5,1,39.9677034340038,2.53031109146546,NA,NA,38.5778473478204,38.1448083337855,0.549282691314648,NA,0.988774930593441,1.04164687544089,2.24817616040823,15.1787935992276,2.46468973132348,-0.00999608182927689,0.0619178969970743
2.5,2,31.0127819218919,1.96338491661745,31.0556041641646,1.66712352948819,29.8641235724145,29.4310845583796,0.585039815553007,0.974444650951377,0.985499691193519,1.04164687544089,2.24817616040823,15.1787935992276,2.46468973132348,-0.00999608182927689,0.0619178969970743
2.5,5,26.2172780092183,1.65978686877263,24.3984315212729,0.658043743260379,24.635889307171,24.2028502931361,0.952766124253464,0.297216150354671,0.982422432223347,1.04164687544089,2.24817616040823,15.1787935992276,2.46468973132348,-0.00999608182927689,0.0619178969970743
2.5,20,22.8786710576807,1.44842335589358,21.5698860384897,0.268723777536481,22.0217721745492,21.5887331605143,0.591608026510164,-0.0701356694126764,0.980335868948123,1.04164687544089,2.24817616040823,15.1787935992276,2.46468973132348,-0.00999608182927689,0.0619178969970743
