"estimator","n_success","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_coverage","fail_rate"
"rao_blackwell",50,-0.0046016412285305,0.0113584834033466,0.0803166063850125,0.0796424335262116,0.0723891070010103,0.92,0.0383666521865017,0
"direct_ordinal",50,-0.0607343230417738,0.0113101298846078,0.0799746953750678,0.0997832193190354,NA,NA,NA,0
"dml_equal",50,0.331464123955455,0.0146181686895722,0.103366062089254,0.346899578272387,NA,NA,NA,0
"dml_middle",50,0.505517217983006,0.0167781297349081,0.118639293111812,0.518981149859942,NA,NA,NA,0
"oracle_dml_equal",50,0.318621032419405,0.014530181551853,0.102743899071869,0.3344615746548,NA,NA,NA,0
"oracle_dml_middle",50,0.488922995880658,0.0169455836966863,0.119823371430911,0.503106532888579,NA,NA,NA,0
"oracle_latent_plr",50,-0.0105754350627034,0.010121473917984,0.0715696284300923,0.0716352378799325,NA,NA,NA,0
