"arm","n","B","reps","bias","mc_se_bias","sd","mean_se","mean_T","V_emp","T_over_V","ratio_se","mean_W","mean_B_between","coverage"
"oracle_both",2000,10,100,0.0585876127934812,0.0451817354929224,0.451817354929224,0.44975834565523,0.216901955364462,0.204138922215241,1.06252131152022,0.151020203172809,0.205482705870065,0.010381135903997,0.97
"gam_m",2000,10,100,0.00912974623451168,0.0121023826444575,0.121023826444575,0.439550358651067,0.208247948579096,0.0146467665672866,14.2180151245269,2.02086067313603,0.204143115826798,0.00373166613845223,1
"gam_l",2000,10,100,0.0165627685112866,0.0126921128428987,0.126921128428987,0.164747197754075,0.0282362196704301,0.0161089728416874,1.75282558037217,0.249135779587856,0.0168169701760333,0.0103811359039971,0.99
"gam_both",2000,10,100,0.018565345031248,0.0117457462136983,0.117457462136983,0.14326925430696,0.0207683446110426,0.0137962554116607,1.50536098320483,0.213962693328704,0.0166635118587451,0.00373166613845223,0.98
"gam_per_draw",2000,10,100,0.019495789865269,0.0117280734024288,0.117280734024288,0.113402047874718,0.0129538886789164,0.0137547705732757,0.941774245517744,0.133857962526432,0.00876326134961243,0.00380966120845813,0.91
