"arm","n_reps","bias","mc_se_bias","sd","mean_se","sd_over_mean_se","coverage_normal","coverage_pct","contrast_sd","mc_se_cov"
"sudo_pl",100,-0.0249685862796816,0.0134252346856036,0.134252346856036,0.137753598516771,0.97458322905221,0.93,0.89,3.1943485095666e-15,0.0255147016443461
"direct_pl",100,-0.0654573467605404,0.0133395487474257,0.133395487474257,0.135317187040794,0.985798555168331,0.92,0.86,3.1943485095666e-15,0.0271293199325011
"sudo_unc",100,0.0965687093229086,0.016552278886332,0.16552278886332,0.179167024353984,0.923846279526825,0.96,0.82,0.891555475185764,0.0195959179422654
"gcomp_unc",100,0.0539839695612843,0.0183222827870755,0.183222827870755,0.200146068841784,0.915445548998483,0.97,0.87,0.891555475185764,0.017058722109232
