"method","mstop","n_success","bias","mc_se_bias","sd","direct_bias","fail_rate","min_threshold_gap","max_contrast_spread","max_probability_error","max_backfit_iterations","max_condition_number","bias_limit","numerically_eligible","bias_ok","promotion_pass"
"pure",500,20,-0.0306851426888737,0.0160244605504255,0.0716635661870304,-0.127156034532229,0,0.871849529759572,3.4250927707088e-16,2.22044604925031e-16,0,NA,0.0320489211008511,TRUE,TRUE,TRUE
"pure",1000,20,-0.0112957795927812,0.0164118884230844,0.0733961963063169,-0.0829995234696187,0,0.888790665096648,4.50735108313541e-16,2.22044604925031e-16,0,NA,0.0328237768461687,TRUE,TRUE,TRUE
"pure",2000,20,0.00706054064994672,0.0167067466766819,0.0747148425038587,-0.0460801822017719,0,0.905808226570473,6.33744897131014e-16,2.22044604925031e-16,0,NA,0.0334134933533638,TRUE,TRUE,TRUE
"pure",5000,20,0.0310883983833098,0.017000562832569,0.0760288282987616,-0.00310786987490086,0,0.927401943215018,6.62727092009084e-16,2.22044604925031e-16,0,NA,0.0340011256651381,TRUE,TRUE,TRUE
"pure",10000,20,0.0473175378270312,0.0171885560011102,0.0768695593070887,0.0238361757832217,0,0.941430464470178,7.1240765016663e-16,2.22044604925031e-16,0,NA,0.0343771120022204,TRUE,FALSE,FALSE
