"theta","n","degree","n_datasets","B_boot","n_complete","fixed_sd_ratio","redrawn_sd_ratio","fixed_normalized_remainder","redrawn_normalized_remainder"
1.5,2000,3,30,50,1500,1.01466162428598,1.01411216587586,0.288247997151083,0.288101828704815
3,2000,3,30,50,1500,1.07603990686127,1.07730775732997,0.436394674110724,0.436464611595782
