"stage","learner","theta","n","n_reps","B_outer","inner_B","mean_est","bias","mc_se_bias","sd","mean_se","sd_over_mean_se","coverage_normal","mc_se_normal","coverage_percentile","mc_se_percentile","bias_pass","coverage_pass","promoted"
"3s","pl_gam",1.5,2000,50,50,15,1.50956187361441,0.00956187361440852,0.0204412565252518,0.144541511049793,0.152495273402486,0.947842564721986,0.98,0.0197989898732233,0.94,0.0335857112474933,TRUE,TRUE,TRUE
"3s","pl_gam",3,2000,50,50,15,3.04337909259244,0.0433790925924398,0.0294574030685992,0.208295294659519,0.216948142327626,0.960115594559739,0.94,0.0335857112474933,0.88,0.0459565011723042,TRUE,TRUE,TRUE
"3s","pl_mars",1.5,2000,50,50,15,1.49054290447738,-0.00945709552261809,0.0208771942107249,0.147624055985521,0.150990521210759,0.977704128721179,0.96,0.027712812921102,0.92,0.0383666521865017,TRUE,TRUE,TRUE
"3s","pl_mars",3,2000,50,50,15,2.98985897719836,-0.0101410228016414,0.02827979907613,0.199968376973246,0.211619368231068,0.944943644075622,0.96,0.027712812921102,0.94,0.0335857112474933,TRUE,TRUE,TRUE
"3s","pl_backfit",1.5,2000,50,50,15,1.49524809517467,-0.00475190482533461,0.0199653506031465,0.141176348002518,0.144280196294313,0.978487357437034,0.94,0.0335857112474933,0.94,0.0335857112474933,TRUE,TRUE,TRUE
"3s","pl_backfit",3,2000,50,50,15,3.00735860215514,0.00735860215514306,0.0291037192727113,0.205794372554838,0.206283714005692,0.997627823150204,0.98,0.0197989898732233,0.96,0.027712812921102,TRUE,TRUE,TRUE
