"stage","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov"
6,"binary_logit",200,1.76789251675981,0.767892516759806,0.00593702822608148,0.083962258375163,0.772446328118019,0.0909176720744454,0,0
6,"binary_cloglog",200,1.00233227729336,0.00233227729335894,0.00333307505167957,0.0471367994249266,0.0470766182738177,0.0581212295807019,0.98,0.00989949493661167
6,"ordinal_logit",200,1.5759485990472,0.575948599047199,0.00443106797931132,0.0626647643213922,0.579330671610307,0.0702565265423862,0,0
6,"ordinal_cloglog_min",200,1.00317084673962,0.00317084673962431,0.00292856542368718,0.0414161694047532,0.0414340061033034,0.0500632932425419,0.975,0.0110397010829098
6,"vardrift_wrong",10,0.000189363382442687,NA,NA,NA,NA,NA,NA,NA
6,"vardrift_right",10,0.433429967393979,NA,NA,NA,NA,NA,NA,NA
