"stage","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov"
"3l","improper_plmb_t1.5",100,1.33096748559475,-0.169032514405251,0.0131874740457516,0.131874740457516,0.213983711121176,0.115804597311431,0.66,0.047370877129308
"3l","improper_plmb_t3",100,2.55666436344527,-0.443335636554726,0.0135611398222201,0.135611398222202,0.46341453737867,0.115294382494926,0.08,0.0271293199325011
"3l","boot_plmb_t1.5",100,1.33321957903454,-0.166780420965464,0.0133742558695416,0.133742558695416,0.213363328863585,0.121105710727812,0.7,0.0458257569495584
"3l","boot_plmb_t3",100,2.55850590823668,-0.441494091763319,0.0137899543799617,0.137899543799617,0.462323646810608,0.127430710393321,0.11,0.031288975694324
