"wine","n","J","theta_hat","clm_beta_D","c_min","c_mean","c_max","cbar1","delta_null","multiple_of_beta"
"red",1599,6,-0.518029253174817,-0.608065157347187,0.146668357455267,0.222377066142961,0.306174758911207,0.206350768321158,2.51043045484848,4.12855501505917
"white",4898,7,-0.45450015627327,-0.502151559827128,0.13302473453041,0.161940926110114,0.811153787246514,0.171655111896068,2.64775194430829,5.27281433760717
