"learner","theta","n","n_reps","B_outer","inner_B","bias_redrawn","mc_se_bias_redrawn","bias_fixed","mc_se_bias_fixed","mean_paired_difference","mc_se_paired_difference","sd_redrawn","sd_fixed","mean_se_redrawn","mean_se_fixed","mean_se_within","mean_se_improper","sd_over_se_redrawn","sd_over_se_fixed","fixed_over_redrawn_se","within_over_full_se","improper_over_within_se","coverage_redrawn_normal","coverage_redrawn_percentile","coverage_redrawn_student","coverage_fixed_normal","coverage_fixed_percentile","coverage_fixed_student","coverage_within","coverage_improper"
"pl_gam",1.5,2000,30,15,15,-0.00169943763931024,0.0208476027261995,-0.00104493689170848,0.0207363536081359,0.000654500747601635,0.00512248595907928,0.114187022830457,0.113577686315796,0.150749455499541,0.14640768281536,0.135020890556338,0.118102194263413,0.757462257174154,0.775763157586708,0.971198750471145,0.895664200636195,0.874695713950536,0.966666666666667,0.9,0.9,0.966666666666667,0.933333333333333,0.866666666666667,1,0.966666666666667
"pl_mars",1.5,2000,30,15,15,-0.0264281230735244,0.0199758601761797,-0.0230623576691995,0.0206051062066239,0.00336576540432497,0.00822860932960581,0.109412292240627,0.112858814691576,0.146185980790481,0.141240979396081,0.136661855713259,0.119314075468709,0.748445860875274,0.799051487564998,0.966173217379261,0.934849258282352,0.873060554066026,0.966666666666667,0.9,0.933333333333333,0.966666666666667,0.9,0.9,1,0.966666666666667
"pl_backfit",1.5,2000,30,15,15,-0.0204389651792063,0.0215186324438161,-0.0209623970240165,0.0222876031325419,-0.000523431844810112,0.006292690922196,0.117862403961406,0.12207422988416,0.137326747788681,0.142482622830493,0.127458106514902,0.117378507910443,0.858262544328018,0.856765740685357,1.03754457980572,0.928137515577334,0.920918340307526,0.933333333333333,0.866666666666667,0.8,0.933333333333333,0.966666666666667,0.8,1,0.933333333333333
"pl_gam",3,2000,30,15,15,0.0324399965699387,0.0309872667268719,0.0328628307650143,0.0309877229711064,0.000422834195075637,0.00555692475439318,0.16972424981737,0.16972674876996,0.212688549614754,0.209143841689415,0.160355348292555,0.120766807609004,0.797994297882018,0.811531180640783,0.983333809310565,0.753944434634629,0.753119923313536,0.966666666666667,0.933333333333333,0.933333333333333,0.966666666666667,0.866666666666667,0.933333333333333,0.933333333333333,0.866666666666667
"pl_mars",3,2000,30,15,15,-0.0195674422299961,0.0333191023445135,-0.0066360230757887,0.0335305208696033,0.0129314191542075,0.0103871273543246,0.182496239499133,0.183654226451794,0.208321499848251,0.203410606707365,0.160171428273196,0.121868175332688,0.876031708834998,0.902874385090484,0.976426373924614,0.768866527890165,0.76086088915199,0.966666666666667,0.966666666666667,0.866666666666667,0.933333333333333,0.9,0.833333333333333,0.866666666666667,0.833333333333333
"pl_backfit",3,2000,30,15,15,-0.00379672768724681,0.0298918779731713,-0.00738815716229091,0.0338154256009131,-0.0035914294750442,0.009286714995214,0.163724558520977,0.185214713932578,0.193777465809834,0.209155684507119,0.148815107526304,0.120429366349773,0.84491020582161,0.885535166634564,1.07936020131658,0.767969107782352,0.809254976538497,0.966666666666667,0.866666666666667,0.9,0.9,0.933333333333333,0.866666666666667,0.933333333333333,0.866666666666667
