"stage","theta","learner","slope","intercept","r2","n_reps"
"3k",1.5,"pl_xgboost",1.0035274293208,0.0465745695250692,0.735292372723998,100
"3k",3,"pl_xgboost",1.02000704739567,0.0552978766712407,0.795133268484764,100
