"truth","rao_blackwell_theta","rao_blackwell_se","randomized_theta","randomized_se","index_only_theta","index_only_se","poisson_one_step_theta","poisson_one_step_se","structured_gam_theta","raw_label_theta","outcome_correction","completion_difference","dispersion","heldout_log_score","calibration_intercept","calibration_slope","arm","treatment","family","cell","replication","protocol_promoted","forced_coverage"
0.405465108108164,0.412449623923406,0.0209520977362923,0.413766394322788,0.0210328393319053,0.359767386643372,0.015584722404163,0.403998272959811,0.243611849776157,0.409977529124922,1.23670709300428,0.0526822372800326,0.00131677039938183,Inf,-1.76276911289098,-0.0785734800561762,1.08385432721779,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",1,FALSE,TRUE
0.405465108108164,0.440501310541763,0.0184361295152853,0.441451565241241,0.0184410661515975,0.365229605405779,0.0140717331537217,0.431955731008888,0.67832065243415,0.401847881829978,1.26228476302965,0.0752717051359841,0.000950254699477959,Inf,-2.78375080321179,-0.0463720751127524,1.05290609537027,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",2,FALSE,TRUE
0.405465108108164,0.415629405341211,0.0190488177494938,0.41375029099978,0.0191164732147215,0.362786089018318,0.0154389624780469,0.416517934534684,0.837007701365652,0.406191007102006,1.26713975603556,0.0528433163228925,-0.0018791143414304,Inf,-2.07996941008946,-0.0809543396635766,1.08909449331459,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",3,FALSE,TRUE
0.405465108108164,0.430333800485243,0.0187389240957118,0.428544640554319,0.0191047410762352,0.356185069836101,0.0158997345125988,0.393042034338661,13.4586680611975,0.398114046622365,1.21548354650592,0.0741487306491437,-0.00178915993092404,Inf,-2.46147733320062,-0.0807185260536816,1.08180289298585,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",4,FALSE,TRUE
0.405465108108164,0.41540199764109,0.0188633046389588,0.41477642609243,0.0189606733273533,0.349482227497401,0.015708602569999,0.3951737829418,0.196720380149464,0.398119930846121,1.24584480358731,0.0659197701436896,-0.000625571548660664,Inf,-2.45427586388007,-0.0438682552885579,1.05223933677396,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",5,FALSE,TRUE
0.405465108108164,0.435310400593343,0.0195527133494415,0.435240635703534,0.0197263195241666,0.3639442219628,0.0168994028871511,0.408917163937913,0.130178161921348,0.404740921701757,1.55107234410162,0.071366178630543,-6.97648898086989e-05,Inf,-2.09238430793252,-0.0627738732819343,1.07336436453036,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",6,FALSE,TRUE
0.405465108108164,0.456620581584988,0.0196730956010186,0.457634135113631,0.0199372580856987,0.360693640920907,0.0144152652335941,0.413371525033967,0.200997366352247,0.412208766839302,1.2153633388494,0.0959269406640807,0.00101355352864319,Inf,-2.47163987482191,-0.0315351297084607,1.05848017555629,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",7,FALSE,TRUE
0.405465108108164,0.390637917825451,0.0184526908156335,0.392424447226062,0.0186405226288555,0.348043134376846,0.0171768594779253,0.369527247186972,0.0833592990063459,0.38393766656893,1.18704850467812,0.0425947834486039,0.00178652940061147,Inf,-2.16345148925548,-0.0550010590574855,1.06017428542998,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",8,FALSE,TRUE
0.405465108108164,0.44741921917031,0.0193726294514706,0.447724709669854,0.019637390326021,0.38584683034043,0.0152119589445414,0.421793789337545,0.206713176355376,0.425164990238818,1.13828262434789,0.061572388829881,0.000305490499544037,Inf,-2.09810917923907,-0.0592353835157745,1.0674228812027,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",9,FALSE,TRUE
0.405465108108164,0.392434286939773,0.0167668278192843,0.393120147374957,0.0166862783473127,0.34015658902275,0.0142725262321919,0.379582376037418,0.212177849334695,0.384156730042092,1.1173688464891,0.0522776979170219,0.00068586043518426,Inf,-2.81630171485188,0.0459553962199837,0.982260236996605,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",10,FALSE,TRUE
0.405465108108164,0.432511059672972,0.0209023932537935,0.433097342433315,0.0209686738169992,0.366334212756595,0.0162149031072998,0.415955425478468,0.315816959273048,0.414067820575486,1.19764248732326,0.0661768469163768,0.000586282760343393,Inf,-2.4455826771204,-0.0759917148350719,1.07989059959021,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",11,FALSE,TRUE
0.405465108108164,0.412495312640318,0.0171182452923846,0.413293246258727,0.0171961514927653,0.367224260500915,0.0118325874208425,0.37751028379211,0.341004660778768,0.401469235248069,1.04939481356097,0.045271052139403,0.000797933618409796,Inf,-2.42897902367087,0.011556596815843,1.01945619371252,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",12,FALSE,TRUE
0.405465108108164,0.401059232635298,0.0181550364014843,0.401637387212058,0.0179285360589311,0.361654180666908,0.0138365474949698,0.395002040176252,0.0575896787401901,0.394781499162098,1.11190908075878,0.0394050519683897,0.000578154576760248,Inf,-2.45852914608618,-0.00508810240108888,1.02420957663172,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",13,FALSE,TRUE
0.405465108108164,0.427751608261001,0.0187772091155632,0.427370131757575,0.0191166252891581,0.339823507289381,0.0197557892411483,0.370575111305475,0.546203674080705,0.393382257401574,1.25451506178842,0.0879281009716199,-0.00038147650342657,Inf,-2.11255311434265,-0.0460598681544282,1.05926269224852,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",14,FALSE,TRUE
0.405465108108164,0.404721379819583,0.0201077752396694,0.403476744435446,0.0197114044442704,0.376609736246487,0.0154190058112354,0.780836564071126,0.207019337169538,0.394008843223023,1.0101378555749,0.0281116435730948,-0.00124463538413672,Inf,-2.44490840062935,-0.06194864784879,1.07158027749739,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",15,FALSE,TRUE
0.405465108108164,0.418702777975117,0.018977929402775,0.41893434283995,0.019049977870673,0.352961951296369,0.0146540339383521,-0.446254781341301,1.00323512578375,0.41181073537714,1.31219243408446,0.0657408266787481,0.000231564864833167,Inf,-2.44294011013123,-0.120114579520145,1.11601407339638,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",16,FALSE,TRUE
0.405465108108164,0.411829664749459,0.0179837007367714,0.412650811980404,0.0181432756456288,0.365119172809364,0.016178303376547,0.402714999991473,0.252342552582506,0.403019022613753,1.22393896998552,0.0467104919400953,0.000821147230945452,Inf,-2.4172947740571,-0.0561098744856913,1.06443859732471,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",17,FALSE,TRUE
0.405465108108164,0.404518558546737,0.0169996285678905,0.405858906931698,0.0169546398605298,0.335692194749465,0.0134039829548583,0.378693365370461,0.0140111925411381,0.385674729898836,1.2554108126951,0.0688263637972718,0.001340348384961,Inf,-3.17141028486262,0.0283318685732661,1.00899377534964,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",18,FALSE,TRUE
0.405465108108164,0.440477358680267,0.0198702084328441,0.441541921384826,0.0197331588845949,0.397277762908775,0.0163522545751574,0.981765725602633,0.280210401290205,0.419520401855316,1.23230103568529,0.0431995957714935,0.00106456270455946,Inf,-1.7316671261689,-0.031450397393717,1.04698169104388,"xgb_constrained","continuous","poisson","continuous_poisson_tlog1p5",19,FALSE,TRUE
