"stage","estimator","n_reps","mean_est","bias","mc_se_bias","sd","rmse","mean_se","coverage","mc_se_cov"
"3c","direct_glm",200,1.35581176496296,-0.144188235037037,0.00990121622715676,0.140024342724337,0.200746182020235,0.131533844324559,0.785,0.0290495266742851
"3c","direct_gam",200,1.48631069399069,-0.0136893060093071,0.00988076785473731,0.139735159068296,0.140055996677969,0.137048278493563,0.95,0.0154110350074224
"3c","sudo",200,1.49173496452422,-0.00826503547578272,0.0102304996700007,0.144681113831684,0.144555430155684,0.126994867683124,0.93,0.0180416185526687
