"cell","estimator","n_reps","bias","mc_se_bias","sd","fail_rate","bias_ok"
"randomized","sudo",10,-0.0377246333925457,0.0174685842900094,0.0552405138550651,0,FALSE
"randomized","pit_affine_scale",10,0.0194515896462678,0.0235685106572169,0.0745301747347574,0,TRUE
"randomized","pit_intercept_tilt",10,0.0067944364843353,0.0200014227937074,0.0632500524721236,0,TRUE
"randomized","pit_affine_tilt",10,0.0102331214765357,0.0204640982150514,0.0647131606209485,0,TRUE
"randomized","scale_calibrated_sudo",10,0.014009149189847,0.0221167803469984,0.069939400406164,0,TRUE
"randomized","tilt_calibrated_sudo",10,-0.00179282437962123,0.0196294048945673,0.0620736285804901,0,TRUE
"randomized","affine_calibrated_sudo",10,0.00948340933213613,0.0206784581871273,0.0653910263718787,0,TRUE
"confounded","sudo",10,-0.0824513828440909,0.0145323473689519,0.0459553174346433,0,FALSE
"confounded","pit_affine_scale",10,0.0392607213943283,0.0170328921355693,0.0538627342883683,0,FALSE
"confounded","pit_intercept_tilt",10,-0.0254468710247825,0.0151387974644155,0.0478730810235348,0,TRUE
"confounded","pit_affine_tilt",10,-0.0209440456069601,0.0153407137050833,0.0485115962406237,0,TRUE
"confounded","scale_calibrated_sudo",10,0.00900896401364613,0.0168634998421967,0.0533270688232317,0,TRUE
"confounded","tilt_calibrated_sudo",10,-0.0445190305757267,0.015350980793545,0.0485440636251013,0,FALSE
"confounded","affine_calibrated_sudo",10,-0.0207223831896511,0.0160905695399109,0.0508828485954462,0,TRUE
"high_signal","sudo",10,-0.113833517084033,0.0078899516787048,0.0249502179333762,0,FALSE
"high_signal","pit_affine_scale",10,0.00871333694701249,0.0126069816499274,0.0398667764337181,0,TRUE
"high_signal","pit_intercept_tilt",10,-0.0372212326017487,0.0112031202261571,0.0354273768153572,0,FALSE
"high_signal","pit_affine_tilt",10,-0.0264115452243584,0.0114694996341119,0.0362697424662614,0,FALSE
"high_signal","scale_calibrated_sudo",10,-0.00851973634332486,0.0122928370826475,0.0388733640865457,0,TRUE
"high_signal","tilt_calibrated_sudo",10,-0.0472543576595526,0.0109226545782979,0.0345404665626874,0,FALSE
"high_signal","affine_calibrated_sudo",10,-0.0258220768459675,0.0116583395037083,0.0368669065672352,0,FALSE
