"sp","alpha_bias","C_hat","identity_bias","sudo_bias","mc_se_sudo","identity_gap","treat_term","leak_term","clip_rate","sd_alpha","sd_sudo"
1e-04,0.0203067439672615,-0.00127843107201296,0.0190283128952486,0.0180648138635677,0.0134847515588612,0.00538302594537771,0.01238012110988,0.00389914980896027,0.000695,0.137325671528082,0.134847515588612
0.001,0.0185511360880539,-0.00129049969140797,0.0172606363966461,0.0164829517261391,0.0134443313065739,0.00519050500862382,0.0113079756451882,0.00186340519286519,0.00012,0.1368013090485,0.134443313065739
0.01,0.00942600360933676,-0.00162547485168846,0.00780052875764814,0.007241425921239,0.0132965208366338,0.00480152193827942,0.00575386358394672,-0.00149742221388296,0,0.134696442923376,0.132965208366338
0.1,-0.018376044447393,-0.00731179306379674,-0.0256878375111897,-0.0252196302670356,0.0129175969034538,0.0043000219407923,-0.0111272402125572,-0.0165383607139724,0,0.12996717083071,0.129175969034538
1,-0.0282593494264225,-0.0401556478896214,-0.068414997316044,-0.0671588962557723,0.0124535315891842,0.00874594359216927,-0.0170167280188914,-0.055801369706182,0,0.126237968419912,0.124535315891842
10,0.00284925063710961,-0.075154934454553,-0.0723056838174434,-0.0708953984768084,0.0125080338094996,0.0134138573106407,0.00200607146606722,-0.0822051724133488,0,0.130711788067581,0.125080338094996
100,0.0235681146724873,-0.0865119637821249,-0.0629438491096377,-0.0615782045149136,0.0127049668248608,0.0152851262768184,0.0146252511921525,-0.0866992901531545,0,0.134559421429654,0.127049668248608
1000,0.0269687218704096,-0.0881089971288986,-0.0611402752584891,-0.0597776497938431,0.0127397194547458,0.0155603618229299,0.0166949283427095,-0.0871606603952371,0,0.13520257286776,0.127397194547458
10000,0.0273311142181578,-0.0882760757789928,-0.0609449615608351,-0.0595825694789625,0.0127434669052353,0.0155890803362951,0.0169154662894012,-0.0872067006956887,0,0.135271239560111,0.127434669052353
