"stage","theta","learner","slope","slope_se","intercept","intercept_se","r2","n_reps"
"3g",1.5,"gam",1.01875768807917,0.0124451520669293,0.00768109149881654,0.0192360786091843,0.930020546355447,100
"3g",1.5,"ranger",0.917604500989151,0.00684804903728223,0.406895696779636,0.00906221005351203,0.483893977714847,100
"3g",1.5,"nnet_d0.01",0.71971429088936,0.00569118538247786,0.42880982562658,0.00765535917372051,0.656423951466798,100
"3g",1.5,"nnet_d0.1",0.909981696265879,0.00506841746720185,0.208905342809828,0.00767393143705443,0.700214202347585,100
"3g",3,"gam",0.953359492537619,0.0175347399651514,0.139374422691235,0.0466030219402772,0.912595031674705,100
"3g",3,"ranger",0.569389832403321,0.0058036542167862,1.25980114700248,0.0107811176318174,0.408848474466645,100
"3g",3,"nnet_d0.01",0.650228423878913,0.0054603987580054,0.720709052570471,0.00958573771223822,0.63326745708613,100
"3g",3,"nnet_d0.1",0.866052560296751,0.00474968326287739,0.355706978112084,0.00906159856685257,0.707396502763113,100
