"n","p","arm","estimator","n_reps","fail_rate","bias","mc_se_bias","sd","rmse","std_bias","rmse_vs_PL_OS"
1000,500,"pen","PL_OS",300,0,0.0474509086395525,0.00920330307953768,0.159405885312144,0.16606361496515,0.297673505257573,1
1000,500,"pen","sudo",300,0,-0.103864508112678,0.0085281587443557,0.147712042402369,0.180371710710407,0.703155317761774,1.08616032927056
1000,500,"pen","sudo_mi",300,0,-0.0963886128689033,0.00868237955581723,0.150383225212727,0.178411029371566,0.640953222891416,1.07435352054095
1000,500,"pen","T_U_os",300,0,0.0227518005393701,0.00918191291357139,0.159035396769784,0.160392002072278,0.143061236689999,0.965846745573601
1000,500,"pen","T_U_plug",300,0,-0.250018363227066,0.00877597563039856,0.152004356778366,0.292467927612722,1.64481050758046,1.76118006147282
1000,500,"pen","T_W_os",300,0,0.0324804206601395,0.00919435395483168,0.159250881925403,0.162269174446756,0.203957555948444,0.977150680965298
1000,500,"pen","T_W_plug",300,0,-0.250032972004144,0.00877719736069504,0.152025517767833,0.292491377562304,1.64467765461575,1.76132127211422
1000,500,"unpen","PL_OS",300,0,0.0527950052544468,0.00914525393942071,0.158400444711961,0.166716459280863,0.333300865098267,1
1000,500,"unpen","sudo",300,0,0.0773647625344713,0.00918033115715996,0.159007999945086,0.176591540138243,0.486546353398504,1.05923278901181
1000,500,"unpen","sudo_mi",300,0,0.0944867505063054,0.00931589189078114,0.161355980726518,0.186753079481268,0.585579475150975,1.12018381560425
1000,500,"unpen","T_U_os",300,0,0.0514177429496405,0.00925309487584891,0.160268304522255,0.168059792811048,0.320822904459568,1.00805759392911
1000,500,"unpen","T_U_plug",300,0,0.173393944145675,0.0093808002091057,0.162480225778238,0.237439011585665,1.06716951749151,1.42420857910411
1000,500,"unpen","T_W_os",300,0,0.0446696951145011,0.00923450592165393,0.159946334391003,0.165809937721247,0.279279267540462,0.9945624951278
1000,500,"unpen","T_W_plug",300,0,0.17333990453436,0.00938187826191501,0.162498898200628,0.237412288605029,1.06671433747414,1.42404828910784
2000,1000,"pen","PL_OS",250,0,0.0285074983077995,0.00735767005809687,0.116334978278048,0.1195506977062,0.245046663778669,1
2000,1000,"pen","sudo",250,0,-0.104810301497274,0.00696111282733631,0.110064857918986,0.15182560771122,0.952259453915989,1.26996839520198
2000,1000,"pen","sudo_mi",250,0,-0.090944607091235,0.00705831355159468,0.111601736313358,0.143791687231713,0.814903155591402,1.20276744503061
2000,1000,"pen","T_U_os",250,0,0.0115427534196531,0.00727679028283062,0.115056156745628,0.115404517609846,0.100322779294396,0.965318645763627
2000,1000,"pen","T_U_plug",250,0,-0.190972336651259,0.00711520230641447,0.112501226505765,0.221531788300194,1.6975133745895,1.85303634818273
2000,1000,"pen","T_W_os",250,0,0.0198631302454058,0.00727184047573279,0.11497789342359,0.11645419810109,0.172756080790487,0.97409885793624
2000,1000,"pen","T_W_plug",250,0,-0.190998612081815,0.00711536551662626,0.112503807085798,0.221555744677367,1.69770798899413,1.85323673494444
2000,1000,"unpen","PL_OS",250,0,0.0322605809882093,0.00733850061808015,0.116031882818434,0.120209356228066,0.278032039165395,1
2000,1000,"unpen","sudo",250,0,0.0304966595702023,0.00734237196848866,0.116093094242991,0.119807104754806,0.262691418202453,0.996653742388438
2000,1000,"unpen","sudo_mi",250,0,0.0496107155440721,0.00745638319631584,0.117895770036822,0.127691182307158,0.420801488709707,1.06223996462387
2000,1000,"unpen","T_U_os",250,0,0.0383013995230914,0.00728557114828776,0.115194994418988,0.12117674858512,0.332491873594621,1.00804756291365
2000,1000,"unpen","T_U_plug",250,0,0.121537295951145,0.0075997689425946,0.120162897748042,0.1707415585449,1.01143779177151,1.42036829663211
2000,1000,"unpen","T_W_os",250,0,0.0314096248438007,0.00724198873559468,0.11450589596881,0.118514633457653,0.274305742757178,0.985901906277602
2000,1000,"unpen","T_W_plug",250,0,0.12149520087802,0.00759989647451523,0.12016491420476,0.170713010681097,1.01107050824331,1.42013081209098
