"theta","n","degree","n_reps","series_target_shift","actual_mean","predicted_mean","actual_sd","predicted_sd","sd_ratio","rms_remainder","normalized_remainder","all_converged","all_finite"
1.5,1000,3,100,-0.000815544633502803,1.49776984450309,0.0537571640728822,3.94739448897535,3.69796296152489,1.06745106158327,1.62292541426108,0.438870110692471,TRUE,TRUE
1.5,2000,3,100,-0.000815544633502803,0.7533480907712,-0.176606198861665,4.46401060764519,4.37828787328503,1.0195790539227,1.0799809838316,0.246667422309372,TRUE,TRUE
1.5,4000,3,100,-0.000815544633502803,0.438955842232653,-0.210384068106698,3.66590128541524,3.70660720817044,0.989018010145377,0.734084360778304,0.19804751880916,TRUE,TRUE
3,1000,3,100,-0.00167404579915049,4.42500815654369,0.186896866027693,8.85207882431602,7.62872387916346,1.16036167575732,4.75386172815133,0.62315294188792,TRUE,TRUE
3,2000,3,100,-0.00167404579915049,3.12267077275775,0.431793488217847,8.81579739681217,8.68145598210639,1.01547452581487,2.97260146230003,0.342408170752343,TRUE,TRUE
3,4000,3,100,-0.00167404579915049,2.17912943920204,0.495134763640481,6.28825664280133,6.38550466590007,0.984770503165071,1.8445178725154,0.28886015577837,TRUE,TRUE
