"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1613001,"min",0.75,0.665040153187347,0.14230591520546,0.668048567078221,0.700159274420726,0.729257004810557,0.770306152974203,0.736566452157778,0.731517069504411,0.0321107073425048,0.475387568574701,0,301.135782936315,8.43769498715119e-15,0,0.424751388794756,0.979463267679904,0.761072850555249,0.799677448838064,2198743,13528609,NA,"randomized",TRUE,0.001,3000,80,5,5,1
1613001,"one_se",0.75,0.608878162264857,0.14230591520546,0.610015183031514,0.660817432037837,0.702532201377705,0.741139137334724,0.728693064730555,0.715154897590702,0.0508022490063234,0.450887524106911,0,89.1682793538166,3.5527136788005e-15,0,0.560230005128141,0.977482505882345,0.761072850555249,0.799677448838064,2198743,13528609,NA,"randomized",TRUE,0.001,3000,80,5,5,1
1613002,"min",0.75,0.646419559467418,0.130176266996228,0.646324472871416,0.66931466460463,0.691591726201784,0.699621945554124,0.718895068952264,0.708830222450935,0.022990191733214,0.492123112364967,0.000333333333333327,1001.001001001,8.43769498715119e-15,0,0.337633242695956,0.978775021616088,0.731174654311913,0.704616272591508,2224984,13461851,NA,"randomized",TRUE,0.001,3000,80,5,5,2
1613002,"one_se",0.75,0.594290795469249,0.130176266996228,0.595962464588675,0.632469008737626,0.664389456522481,0.687623947143146,0.710029153680595,0.691541201719901,0.0365065441489509,0.466489127795269,0.000333333333333327,1001.001001001,4.66293670342566e-15,0,0.407950629216874,0.986692951637468,0.731174654311913,0.704616272591508,2224984,13461851,NA,"randomized",TRUE,0.001,3000,80,5,5,2
1613003,"min",0.75,0.653145164209163,0.13679296112477,0.651963018360309,0.680301833300101,0.706179696240763,0.726918797669565,0.720203899100249,0.71345532016961,0.0283388149397916,0.477304474422472,0,191.406434917053,6.88338275267597e-15,0,0.398844887269443,0.979099006804671,0.751848790508774,0.753339343590054,2214340,13492913,NA,"randomized",TRUE,0.001,3000,80,5,5,3
1613003,"one_se",0.75,0.594675368478795,0.13679296112477,0.591752906520945,0.640293060663126,0.680287064959007,0.709514655612943,0.717091769644245,0.700746870625531,0.0485401541421812,0.451735296313463,0,78.1381083959326,3.10862446895044e-15,0,0.5324836769133,0.977776876375947,0.751848790508774,0.753339343590054,2214340,13492913,NA,"randomized",TRUE,0.001,3000,80,5,5,3
1613004,"min",0.75,0.714863021697334,0.143127793639385,0.710979260478584,0.732970539863751,0.753721736769698,0.761957171852813,0.78086571128535,0.77099717526423,0.0219912793851675,0.485493558319191,0.000333333333333339,1001.001001001,1.15463194561016e-14,0,0.352912684133154,0.977842770367056,0.772316482548831,0.794154868407141,2326887,13593038,NA,"randomized",TRUE,0.001,3000,80,5,5,4
1613004,"one_se",0.75,0.649119410786506,0.143127793639385,0.64622686097379,0.688373645278135,0.724397230282604,0.749509021402107,0.764233539454261,0.745981044769129,0.0421467843043452,0.4608342690842,0.000333333333333339,1001.001001001,3.77475828372553e-15,0,0.446749235563283,0.980345925251808,0.772316482548831,0.794154868407141,2326887,13593038,NA,"randomized",TRUE,0.001,3000,80,5,5,4
1613005,"min",0.75,0.736901423131154,0.148927832896823,0.733037586658137,0.764486421864441,0.796372171202796,0.802975607502153,0.821393867710406,0.810240376041173,0.031448835206304,0.503449253951785,0,302.594902546828,5.77315972805081e-15,0,0.338700701121982,0.980130620002495,0.785520642787481,0.797712244639856,2299603,13451103,NA,"randomized",TRUE,0.001,3000,80,5,5,5
1613005,"one_se",0.75,0.674806284834129,0.148927832896823,0.673156715714469,0.721027543542466,0.764843660541109,0.790953433167016,0.807131036448522,0.788400106766621,0.0478708278279975,0.477888286947388,0,141.748051334441,3.99680288865056e-15,0,0.453580064845625,0.976830488548164,0.785520642787481,0.797712244639856,2299603,13451103,NA,"randomized",TRUE,0.001,3000,80,5,5,5
