"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","pit_intercept_tilt","pit_affine_tilt","affine_calibrated_sudo","pit_affine_scale","scale_calibrated_sudo","tilt_calibrated_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","pit_intercept_tilt_theta","pit_intercept_tilt_intercept","pit_intercept_tilt_slope","pit_intercept_tilt_tilt","pit_intercept_tilt_score_error","pit_intercept_tilt_converged","pit_affine_tilt_theta","pit_affine_tilt_intercept","pit_affine_tilt_slope","pit_affine_tilt_tilt","pit_affine_tilt_score_error","pit_affine_tilt_converged","affine_calibrated_sudo_mean_intercept","affine_calibrated_sudo_mean_slope","affine_calibrated_sudo_mean_tilt","affine_calibrated_sudo_max_score_error","affine_calibrated_sudo_convergence_rate","pit_affine_scale_theta","pit_affine_scale_intercept","pit_affine_scale_slope","pit_affine_scale_tilt","pit_affine_scale_score_error","pit_affine_scale_converged","scale_calibrated_sudo_mean_intercept","scale_calibrated_sudo_mean_slope","scale_calibrated_sudo_mean_tilt","scale_calibrated_sudo_max_score_error","scale_calibrated_sudo_convergence_rate","tilt_calibrated_sudo_mean_intercept","tilt_calibrated_sudo_mean_slope","tilt_calibrated_sudo_mean_tilt","tilt_calibrated_sudo_max_score_error","tilt_calibrated_sudo_convergence_rate","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","cell","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1620001,"min",0.75,0.723494510540047,0.141447632440698,0.72755587977388,0.754054536341006,0.781570857289876,0.819662612267916,0.800195974983374,0.792289787942002,0.800195306755204,0.8034432665594,0.8122793316024,0.809263636841487,0.814722808934428,0.797649223980289,0.0264986565671266,0.509420205548003,0.000333333333333332,1001.001001001,7.99360577730113e-15,0,0.27224430082311,0.984320441135161,0.800195306755204,-0.000198470920128065,1,0.0767007962151569,9.03034743278871e-12,1,0.8034432665594,0.000833350488949319,1.12433789936425,-0.0100090316227663,3.58824081558851e-16,1,0.000468023260161332,1.12666109793519,-0.0101226351449215,1.35872794497042e-15,1,0.809263636841487,0.000785870186342536,1.11854841336311,0,2.76815607473206e-16,1,0.000740033697939338,1.12028022198063,0,1.34577534301646e-15,1,-0.000378242918653082,1,0.0781471120531635,2.39258172533378e-11,1,0.773804162295115,0.861567776250805,2289235,13460596,"randomized",0.001,3000,80,5,5,1
1620002,"min",0.75,0.66593457506586,0.133056085759038,0.666278566234327,0.685087849207461,0.703405152594297,0.728221604484004,0.72089316021155,0.714240224542446,0.720888396653331,0.721092477202167,0.723772559215511,0.726790252392737,0.726296474033498,0.71564976373939,0.0188092829731336,0.493374295423673,0.000333333333333345,1001.001001001,8.88178419700125e-15,0,0.376445312187161,0.973348702271365,0.720888396653331,0.00159161398352397,1,0.0549538215874706,1.66654838077799e-13,1,0.721092477202167,0.00454450570182428,1.09713243237323,-0.00952594294127151,3.43428988950715e-17,1,0.00497153512736598,1.09905651670154,-0.00997192164952727,1.40905805542009e-16,1,0.726790252392737,0.00435117529382147,1.09138386803367,0,2.22044604925031e-17,1,0.00474811182567191,1.09289366932036,0,7.82707232360735e-17,1,0.00167444338451885,1,0.0554524718035007,3.80621090201316e-13,1,0.74514848849845,0.754759590856246,2238047,13564090,"randomized",0.001,3000,80,5,5,2
1620003,"min",0.75,0.686731806747235,0.138908974091466,0.687990276792142,0.709730170402041,0.730539014164613,0.757742970546673,0.754168813581255,0.745115563837505,0.754184250492175,0.758393090735243,0.756782124505393,0.76390399013167,0.76000234486442,0.745119692176939,0.0217398936098994,0.48905901908231,0,405.337064881614,9.76996261670138e-15,0,0.373504503856921,0.974717159446771,0.754184250492175,0.0011172401343517,1,0.06745244374494,3.22709858835424e-13,1,0.758393090735243,0.00491368328003824,1.11831789562046,-0.00959137824195864,6.53551287162675e-17,1,0.00497311597335648,1.11944679075718,-0.0101141646176853,8.60422844084496e-17,1,0.76390399013167,0.00478967839272519,1.11237601437156,0,7.01660951563099e-17,1,0.00480224313869682,1.11287022626263,0,1.44236474615885e-16,1,0.0012747861587774,1,0.0678648300855293,1.03190937276546e-12,1,0.758386140192994,0.770214601255754,2241336,13460528,"randomized",0.001,3000,80,5,5,3
1620004,"min",0.75,0.784671112346622,0.155142081839505,0.784415464334052,0.80817625620096,0.833286645473366,0.84545432065909,0.873290674214765,0.857957342952275,0.87330505370454,0.879049785399208,0.873179015483863,0.908329872690785,0.887475754829065,0.856907285882722,0.0237607918669075,0.513807701942502,0.000333333333333342,1001.001001001,8.21565038222616e-15,0,0.338619263280276,0.974176108777387,0.87330505370454,0.00395857773632685,1,0.0886339413579178,5.32800115138343e-12,1,0.879049785399208,0.0106169757202412,1.19491742313223,-0.0585673981723168,3.8162066099782e-16,1,0.0108838611311267,1.19538063336406,-0.0580397290106989,1.5709655798446e-15,1,0.908329872690785,0.00938991670417084,1.15759310926377,0,2.09906166522463e-16,1,0.00956749393246207,1.15831794730955,0,7.26826006787936e-16,1,0.00419040783196372,1,0.0893825443913631,1.01635031872031e-11,1,0.800744188748472,0.842249794116751,2227172,13527787,"randomized",0.001,3000,80,5,5,4
1620005,"min",0.75,0.664783844954107,0.13585687964687,0.666545033800021,0.687667424566573,0.707524540403217,0.692783592498293,0.72791089889205,0.717497279691265,0.727922212539739,0.73008022988128,0.728446570302731,0.728894758860225,0.727725399816014,0.720533071438206,0.0211223907665514,0.484562101465018,0.000666666666666683,1001.001001001,7.99360577730113e-15,0,0.387359145976564,0.970087173374587,0.727922212539739,-0.00293994655971529,1,0.063138367585632,1.08154522375041e-13,1,0.73008022988128,0.000356935271039469,1.09526506974874,0.00196570556978795,2.95319324550292e-17,1,0.000501853562690942,1.0966060160354,0.00126381622368379,1.28600833685747e-16,1,0.728894758860225,0.000402833644813015,1.09643873627907,0,1.55838305223218e-16,1,0.000369819437643959,1.09703286065554,0,4.21884749357559e-17,1,-0.00307268687272151,1,0.0635543116870311,5.12950607915267e-13,1,0.737669794618305,0.70632107624461,2251388,13440775,"randomized",0.001,3000,80,5,5,5
1620006,"min",0.75,0.699838101893433,0.144052673827444,0.700600481064533,0.726978421085245,0.752226535593219,0.769525124501488,0.767637742681632,0.759195176850703,0.767618511465183,0.772196430123932,0.771606906656089,0.784533358652979,0.777479335205794,0.75989540553803,0.0263779400207124,0.489057603539009,0,229.748967844679,7.105427357601e-15,0,0.382442393852573,0.977959533472453,0.767618511465183,0.00347633816529494,1,0.0677804095717506,6.75746865870982e-14,1,0.772196430123932,0.0111105811987276,1.1365911271257,-0.0232333469126367,5.11442740010655e-17,1,0.0113161221284643,1.13795730996712,-0.0240560712505777,1.24344978758018e-16,1,0.784533358652979,0.010156049272314,1.1210212140928,0,4.08562073062058e-17,1,0.0100380696652645,1.12138855900395,0,4.32986979603811e-17,1,0.0035164217071064,1,0.0678848893653224,2.57758629255515e-13,1,0.770648964600422,0.803917186971564,2197520,13432782,"randomized",0.001,3000,80,5,5,6
1620007,"min",0.75,0.699956042107076,0.142412392848257,0.700151446011924,0.72021760242228,0.739310928270109,0.704934089915955,0.769571135638737,0.757843313988252,0.769569320903628,0.773669551602036,0.770513341444739,0.791849246175092,0.779105432541202,0.758224679044689,0.0200661564103556,0.487578607958699,0,399.682977713032,7.99360577730113e-15,0,0.359970079671978,0.978942539179123,0.769569320903628,0.0029444796633744,1,0.0696132787965523,7.10113449523912e-14,1,0.773669551602036,0.010884799501378,1.15339455879532,-0.0336559387601761,4.32246830920728e-17,1,0.0110004587923965,1.15469336543552,-0.0340660722672052,7.91959090899278e-17,1,0.791849246175092,0.00969738451318382,1.13128425006718,0,8.34887714518118e-17,1,0.00952753563503828,1.13206012299774,0,1.162033432441e-16,1,0.00296526273845616,1,0.0699009736821714,2.11395715747168e-13,1,0.767131160079057,0.729619061466046,2207855,13488064,"randomized",0.001,3000,80,5,5,7
1620008,"min",0.75,0.596557973304448,0.119918272371026,0.593199751810413,0.611348720401747,0.627879599066714,0.639166291421001,0.647498633445021,0.641155996106967,0.647529184467001,0.649224585580105,0.64496461672348,0.643002302562744,0.642253057250505,0.637976339680735,0.0181489685913347,0.47667103441359,0.000333333333333341,1001.001001001,5.77315972805081e-15,0,0.373956766414807,0.9788531433287,0.647529184467001,0.00329005633072458,1,0.050971211162553,2.1093053229985e-14,1,0.649224585580105,0.00982510474096648,1.07225247695997,0.00956382105419206,4.5001039931473e-17,1,0.00969185001756178,1.0747136564883,0.00923561661748611,1.17776159195652e-16,1,0.643002302562744,0.0102686543478801,1.07785384042565,0,2.96059473233375e-17,1,0.00990017800668619,1.07944102885085,0,7.24420523567915e-17,1,0.00276769961462199,1,0.0518674761010171,6.00050564791843e-14,1,0.705854311440666,0.646546755996347,2125999,13488008,"randomized",0.001,3000,80,5,5,8
1620009,"min",0.75,0.729044114115657,0.148249595671979,0.731234698839878,0.758180426766005,0.78474868280738,0.829013035608061,0.808933256193705,0.798605313954435,0.808928369702434,0.815038846603254,0.816329911790646,0.835704783527584,0.826603806308103,0.800623331880174,0.0269457279261267,0.496473147233994,0,299.411660468832,6.21724893790088e-15,0,0.360875407723059,0.979193395517995,0.808928369702434,-0.00318180683811665,1,0.0798842555867775,3.38082746983067e-13,1,0.815038846603254,0.000990687535120114,1.17174590983606,-0.039215612201822,5.09222293961405e-17,1,0.000831362505131263,1.17472586933124,-0.0407855055883235,1.02603111192442e-16,1,0.835704783527584,0.000362301403918537,1.14630207877243,0,9.59232693276135e-17,1,0.000115593026361302,1.14759546198993,0,1.24715053099559e-16,1,-0.00370597758511251,1,0.0806838363693588,1.84247455255656e-12,1,0.79003150715955,0.849795566516849,2254186,13565020,"randomized",0.001,3000,80,5,5,9
1620010,"min",0.75,0.638799607681452,0.133113032123533,0.640246324244715,0.661312258681225,0.68057303300765,0.680616092448334,0.697822519281113,0.690151945608304,0.697803758160117,0.700142951078731,0.696959715596509,0.702243694627375,0.698427078115441,0.689492962842614,0.0210659344365102,0.477618306012812,0.000666666666666686,1001.001001001,7.99360577730113e-15,0,0.439281340250443,0.977781760647355,0.697803758160117,0.00675892664415007,1,0.0590041504786648,9.57752395909968e-15,1,0.700142951078731,-0.00140806035329547,1.10163417950902,-0.00358053060011067,7.69754630406775e-18,1,-0.00125967754186885,1.10317849975389,-0.00422078213309382,2.76086283464612e-11,1,0.702243694627375,-0.00122938266925004,1.09931766736081,0,3.37507799486048e-17,1,-0.00116969042160056,1.10008622168154,0,2.01673000521652e-11,1,0.00682916663425567,1,0.0591647003683369,2.81256499571706e-14,1,0.738692592640177,0.693051672807548,2393264,13558928,"randomized",0.001,3000,80,5,5,10
