"stage","theta","learner","slope","intercept","r2","n_reps"
"3j",1.5,"pl_backfit",0.913916578784214,0.310366085990274,0.671444316429391,100
"3j",3,"pl_backfit",0.917647972976079,0.43828630968521,0.718969809518496,100
