"replication","seed","rao_blackwell","rao_blackwell_se","ci_lo","ci_hi","direct_ordinal","dml_equal","dml_middle","coding_difference","coding_difference_se","oracle_dml_equal","oracle_dml_middle","oracle_coding_difference","oracle_latent_plr","thresholds_ordered","all_boot_thresholds_ordered","min_threshold_gap","min_boot_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","max_condition_number","min_category_frequency","bootstrap_success","error","config","n","p","n_folds","bootstrap_reps"
1,194001,0.849518976689333,0.0859231782488629,0.681112641884346,1.01792531149432,0.795568927203962,1.13516215794482,1.29982036325381,0.164658205308987,NA,1.12264125541835,1.29456019054767,0.171918935129325,0.785661623758987,1,1,1.01266623527983,0.936092160240559,5.08525371974486e-16,2.22044604925031e-16,0,NA,0.178333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
2,194002,0.964106828527168,0.0710582483384969,0.824835220979211,1.10337843607513,0.924349129657072,1.32458098064255,1.52716921093527,0.202588230292715,NA,1.30470356417014,1.49828304219858,0.193579478028437,0.995976608047096,1,1,0.989736146549071,0.879578406658053,5.20048768835014e-16,2.22044604925031e-16,0,NA,0.174333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
3,194003,1.00255943556921,0.0715072954926667,0.862407711771722,1.1427111593667,0.93294885994356,1.37144095259558,1.56293552053456,0.191494567938987,NA,1.33072856186066,1.51718202985602,0.186453467995356,0.992642929844498,1,1,0.934729838541033,0.830604032503614,5.11028052043089e-16,2.22044604925031e-16,0,NA,0.170333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
4,194004,1.03039971575221,0.0691040646742999,0.894958237805251,1.16584119369916,0.978829156836329,1.35755626515983,1.56368429252332,0.206128027363493,NA,1.33749348678506,1.55444512850068,0.216951641715625,1.04703135202548,1,1,1.05183940844917,0.918022300126041,5.86335318202517e-16,2.22044604925031e-16,0,NA,0.169666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
5,194005,0.930824688861537,0.06802893093773,0.797490434316823,1.06415894340625,0.875137750361935,1.27085629590888,1.43972601104595,0.168869715137067,NA,1.23958610780234,1.40950640308783,0.169920295285493,0.940501279159207,1,1,0.920497586171561,0.826871959874939,5.69583735799848e-16,2.22044604925031e-16,0,NA,0.165333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
6,194006,1.07783025568104,0.0803302660028535,0.920385827446924,1.23527468391515,1.03767616198371,1.45774157821167,1.70376022889784,0.246018650686173,NA,1.47628357130058,1.72324761934645,0.246964048045868,1.04958538158297,1,1,1.00097539458535,0.900869529530294,5.43593229059567e-16,2.22044604925031e-16,0,NA,0.170333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
7,194007,0.907144850518765,0.0758856198982619,0.758411768573676,1.05587793246385,0.888663839831411,1.20121934463805,1.36286426943061,0.161644924792551,NA,1.25959884604004,1.43710457001589,0.177505723975846,0.894713333202651,1,1,0.930300432224893,0.839148848322629,5.17927528000565e-16,2.22044604925031e-16,0,NA,0.163333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
8,194008,0.928165536273449,0.0802241136222449,0.7709291628822,1.0854019096647,0.818626824648327,1.23443049832511,1.37983043370717,0.145399935382064,NA,1.17064147112377,1.30953755120819,0.138896080084424,0.914831954634785,1,1,0.99637908275615,0.893928652652247,5.15118908506069e-16,2.22044604925031e-16,0,NA,0.172333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
9,194009,1.00670902643825,0.0684152682255886,0.872617564723446,1.14080048815305,0.949995217506691,1.37328368919863,1.54436845909953,0.171084769900906,NA,1.37528854142852,1.54358887939139,0.16830033796287,1.00252112759685,1,1,0.913054966089146,0.841537509751098,4.72946036958774e-16,2.22044604925031e-16,0,NA,0.165666666666667,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
10,194010,0.909350427207372,0.0798902095488485,0.752768493774271,1.06593236064047,0.862381697778457,1.23634453351708,1.40817393267051,0.17182939915343,NA,1.2231939851306,1.38385856666998,0.160664581539383,0.887473682385286,1,1,0.976797758083895,0.858835240757025,5.15358535860558e-16,2.22044604925031e-16,0,NA,0.172333333333333,1,"","stage19_v3_resumable_primary_boot_pure_2000_2000_0.1_0.1_10_4_2.9.11",3000,50,5,99
